coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99_9_next
BTC,1w,vol_top10,base,188,0.7824751650940283,6.233942338460711,0.17449322309929238,7.475323941895045,19.693663408585333,21.625319622379223
BTC,1w,vol_top10,no,169,0.6722488433206584,6.305840213942011,0.10799760862438834,7.405160268395898,19.87971200342983,21.650553620301263
BTC,1w,vol_top10,yes,19,1.7629092903413686,5.610483961508711,2.773913043478271,7.719189567762358,11.527905011750496,12.081759000248555
BTC,1w,volspike_top1,base,188,0.7824751650940283,6.233942338460711,0.17449322309929238,7.475323941895045,19.693663408585333,21.625319622379223
BTC,1w,volspike_top1,no,186,0.7697456940928651,6.2590914413775165,0.17449322309929238,7.4802896885983845,19.713247471200553,21.62797583268682
BTC,1w,volspike_top1,yes,2,1.966315968202187,4.094641273613944,1.9663159682021867,4.28259485708118,4.803757607078953,4.855873882078731
CRV,1w,prev+2sig,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,prev+2sig,no,182,-0.5536157130660796,12.538008956570067,-1.2210059253262406,12.070769066874773,36.7614514901,61.38459205000585
CRV,1w,prev+2sig,yes,6,26.905022497287593,44.40348404952098,6.00750940631768,72.10469560870646,110.85246307310894,114.72723981954918
CRV,1w,prev+3sig,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,prev+3sig,no,186,0.2982061841506546,15.188699318361367,-0.7908749524411895,13.148497719049868,43.15249767671075,106.1222911082679
CRV,1w,prev+3sig,yes,2,2.60286247683863,1.3974498921266814,2.60286247683863,3.3933795129115785,3.571245846027992,3.5890324793396333
CRV,1w,prev-2sig,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,prev-2sig,no,187,0.3095560386780604,15.148944324163535,-0.5813953488371992,13.111530596193177,42.87997010760267,106.07345067874937
CRV,1w,prev-2sig,yes,1,2.7850959729017744,,2.7850959729017744,2.7850959729017744,2.7850959729017744,2.7850959729017744
CRV,1w,prev-3sig,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,prev-3sig,no,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,up5,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,up5,no,182,0.4351147548972558,14.959333697022743,-0.2960416890773143,12.882313356455077,44.24260795314076,106.31765282634065
CRV,1w,up5,yes,6,-3.0864683642669264,20.566066737435627,-10.947816152520161,20.766939726505626,32.18017844997897,33.3215023223263
CRV,1w,vol_top1,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,vol_top1,no,186,0.33687003234559687,15.182815413459945,-0.4626470756018075,13.148497719049868,43.15249767671075,106.1222911082679
CRV,1w,vol_top1,yes,2,-0.9928754052909938,6.482591171773105,-0.9928754052909943,2.6742319364856537,3.499331088385399,3.581841003575374
CRV,1w,vol_top10,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,vol_top10,no,169,-0.8456441180607915,12.147784055523791,-1.2967696955612396,11.514930183426557,31.313941283980025,60.79534485674408
CRV,1w,vol_top10,yes,19,10.71504900831436,29.455323710771268,3.1574098838073272,36.78988522651972,101.46099701192351,113.78809321343057
CRV,1w,volspike_top1,base,188,0.32272380428563335,15.109463573055205,-0.4626470756018075,13.074563473336486,42.607442538495356,106.02461024923083
CRV,1w,volspike_top1,no,186,0.27134254611734193,15.09285594294911,-0.4626470756018075,12.556918363209746,43.15249767671075,106.1222911082679
CRV,1w,volspike_top1,yes,2,5.101180813936723,22.43273023483421,5.101180813936722,17.791049349600534,20.64626977012489,20.931791812177327
DOGE,1w,prev+2sig,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,prev+2sig,no,184,0.35718794437200246,12.407268030554178,0.144553931637037,12.310422871479227,35.72218047765961,91.1749893823667
DOGE,1w,prev+2sig,yes,4,9.607975379377141,18.425827019533465,3.8447118583294193,27.440885322094935,35.291185306403015,36.07621530483383
DOGE,1w,prev+3sig,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,prev+3sig,no,187,0.5859649536969106,12.591331304226319,0.1956947162426559,12.703534821577884,36.314300949595435,90.97694540517426
DOGE,1w,prev+3sig,yes,1,-5.420963059365302,,-5.420963059365302,-5.420963059365302,-5.420963059365302,-5.420963059365302
DOGE,1w,prev-2sig,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,prev-2sig,no,187,0.5440900787579688,12.598252899797256,0.1488865872604661,12.703534821577884,36.314300949595435,90.97694540517426
DOGE,1w,prev-2sig,yes,1,2.409638554216853,,2.409638554216853,2.409638554216853,2.409638554216853,2.409638554216853
DOGE,1w,prev-3sig,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,prev-3sig,no,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,up5,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,up5,no,183,0.08082003163251979,10.170578410765078,0.20180977800925426,12.433493738130679,35.54651669173836,37.04489481102347
DOGE,1w,up5,yes,5,17.872883498641173,47.84804085256243,-0.7114407001729495,62.031681081125214,99.13327290005473,102.8434320819477
DOGE,1w,vol_top1,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,vol_top1,no,186,0.3824189169407085,12.35455662817883,0.172290651751561,12.064281138176291,35.68558210538113,91.04296006423841
DOGE,1w,vol_top1,yes,2,16.51228236549261,27.79093485957971,16.51228236549261,32.23320916127055,35.770417690320585,36.12413854322559
DOGE,1w,vol_top10,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,vol_top10,no,169,-0.6041479198684464,9.709419943320636,-0.2550335570469686,11.270203443123341,28.20407915094193,36.933586600078456
DOGE,1w,vol_top10,yes,19,10.855551670511812,25.214412485960104,3.39405003941744,27.40454779814993,91.17907038749719,102.04801183069189
DOGE,1w,volspike_top1,base,188,0.5540132089465798,12.565259236171979,0.172290651751561,12.69755998404181,36.303525228925416,90.91093074611013
DOGE,1w,volspike_top1,no,186,0.6868964872876917,12.563009110813427,0.19875224712595507,12.70950965911396,36.32507667026548,91.04296006423841
DOGE,1w,volspike_top1,yes,2,-11.804131676776825,4.183280071372751,-11.804131676776825,-9.43771111192065,-8.905266484828012,-8.85202202211875
ETH,1w,prev+2sig,base,188,0.4545113327554639,8.502456014178787,-0.05809942390866407,9.022849750816304,24.187393906469676,41.27492440570295
