coin,tf,n,mean,stdev,skew,kurtosis,p50,p90,p99,p99_9,min,max,v0_count
PUMP,1d,399,0.0954092655164534,7.091245094544112,0.24240382251048292,3.7703457171037185,-0.2169197396963085,9.379359868691015,18.05027878502031,23.001672893174657,-27.192189477490516,24.91473703105367,0
PUMP,1h,5002,0.005710248377176125,1.1799071063055382,0.3054253557775917,6.812309862808224,0.0,1.3187124854895587,3.5355171389485553,6.035834514286856,-7.867820613690013,8.724388631857227,0
PUMP,1w,58,0.6258274279708181,19.460533945824405,0.23544143027932332,3.4826525380906515,-1.9517460197219172,24.016792255342853,47.86517243639278,50.81427092967574,-47.632833787465934,51.14194854004048,0
PUMP,5m,5031,0.007153111934155317,0.39514061123804156,0.1641386134996641,5.876083887513065,0.0,0.4514672686230181,1.124441093440404,1.8292257375868202,-2.249598286020349,2.560386473429954,0
SOL,1d,1320,0.2534531860755709,4.505139623681323,0.8147922279364647,7.481644273742088,-0.024153368040141787,5.532863955459498,12.659813005623239,24.908682149415824,-20.399820808601188,32.773798458089566,61
SOL,1h,5002,-0.010406698710701169,0.6811180135603663,-0.20481322934240687,10.804922469984469,-0.0013396768571483086,0.6481601267258035,2.0052481542387293,3.4001476964940323,-5.994638226805938,5.3921113689095135,0
SOL,1w,189,1.5258865893302433,11.794642943569373,1.1656264824797826,6.919242951178118,0.8594360394914569,15.142953103143144,40.193485042839356,57.13690491788264,-26.51049565009179,58.33390943657102,8
SOL,5m,5029,-1.2491910442153633e-05,0.11370464020983591,0.3973776417359999,10.020004015341158,-0.0026069501290582053,0.12036441169083198,0.3369241552469729,0.5168540512871945,-0.7759456838021261,1.274639169648073,0
XMR,1d,1209,0.14183454988353394,3.549747441214187,-0.9853929140155975,18.498598792910187,0.23315744263101568,3.6937322893728113,10.163904297588001,18.167259915302413,-36.134961905913656,22.53361105851164,998
XMR,1h,5001,-0.004809581320241052,0.9197953799928581,-0.2626632496597912,10.554299054743284,0.010376404057166333,0.9393006551424721,2.4351476983055953,5.2098272011286415,-8.644533320483783,6.6087894588138685,0
