feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next,range_p90_next,split1_median,split2_median,h1_n,h2_n
dom,12,1h,2016,-0.013857216494932642,0.0,1.379495702408784,3.5389713425503873,0.608973834831228,0.3880018961098519,0.928874337266647,2.3105274253344197,0.01848750518159692,-0.012353565170397651,864,1152
dom,13,1h,1980,0.036282559737131695,0.052391430625797764,1.3746009475605885,2.9165573014947888,0.6104002373206289,0.42372098094612953,0.9546377293740291,2.206764584195288,0.10842151624722574,0.017632335687822742,864,1116
dom,14,1h,1728,0.11162869537829762,0.02289044092869119,1.3129199657825572,2.887456637379958,0.5656452391740511,0.36885600044290756,0.89330736626673,2.1704656089940957,0.017899260176723608,0.0337637291748516,864,864
dom,15,1h,1728,-0.012717185204226357,-0.026382988785395023,1.31932102220732,3.0548247744178307,0.5926694504535129,0.41077551211725627,1.0140934016060168,2.288439066160668,0.0,-0.05290968914903327,864,864
dom,16,1h,1728,0.03380271367495335,0.014961640718624825,1.436911200394255,3.0450540353067423,0.6215482345450624,0.42314806840535457,1.0705802799940547,2.397542596477298,0.11795386400231811,-0.04377194743639956,864,864
dom,17,1h,1874,-0.03429365244029823,-0.022009042548765123,1.4675381053443837,3.185347795401296,0.6197855263011637,0.41116649439986164,1.0343990283244202,2.4387235825040827,-0.03535730187973485,0.0,1010,864
dom,18,1h,2016,-0.11489298845380619,-0.019884644340378843,1.3372122889924232,3.5721021838594296,0.5812854280372393,0.3427256342628582,0.9227722945887905,2.2402340516906682,-0.05701338443453441,0.02267294341449233,1152,864
dom,19,1h,2016,-0.02340308594025592,-0.023307220887514024,1.1689482127583029,2.5337608204179007,0.5218257460604622,0.355801159275404,0.9037119872169592,2.060215271556685,-0.04228423129111758,-0.0021697094280459517,1152,864
dom,20,1h,2016,0.02905032350770192,0.00669263181682922,1.2605315510310022,3.484626419184246,0.5780461316422332,0.3882018241094243,0.9529128259055497,2.2367329978688857,-0.027304578532777457,0.0589076125980692,1152,864
dom,21,1h,2016,0.012565977885080917,-0.007232721107036655,1.2508850586247677,3.7314653871631682,0.5523467500538172,0.3198893357697241,0.8174144610314827,2.202596396804106,-0.014093370404844041,0.0,1152,864
