coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
XRP,body_pos,mid,1h,3576,-0.0060030090875881105,-0.015146013453526397,0.8758269664387419,2.123848813642895,0.3942090873432613,0.2561445196036849,0.6412720927699862
XRP,body_pos,upper,1h,670,-0.0057095746765688515,-0.0280790677217313,0.9460224273620633,2.3006268495643027,0.4416658415089594,0.28685840045880595,0.6917077110094658
ZEC,body_pos,lower,1h,720,-0.001852679384898168,0.05023425159733641,1.7575933356200362,4.451028146784595,0.8593067006977477,0.6186995266302842,1.4425129924215836
ZEC,body_pos,mid,1h,3614,0.005053738326078882,-0.030630553574811925,1.8174287319574396,4.095922258311737,0.8221706959036134,0.5782589407247518,1.4222378404065021
ZEC,body_pos,upper,1h,667,0.06434224693460172,-0.072853109917137,2.1665699063251376,5.7270804525113235,0.9391430197040104,0.5934405506004881,1.4562684750478152
AAVE,body_pos,mid,1w,112,0.9898755418411823,0.5659000191034269,,,9.30217581697434,8.157416401228247,19.314787437567603
BTC,body_pos,mid,1w,140,0.7505678790245519,0.44254900365029437,,,4.6040924834817964,3.785313141784208,9.384747459511285
CRV,body_pos,mid,1w,126,-0.22032966671851328,-1.2210059253262406,,,9.614493458861908,6.965794701492117,20.172641477414796
DOGE,body_pos,mid,1w,153,0.6110910173814381,-0.10126798933121073,,,7.96244198683022,5.054981125882163,16.797829036635008
ETH,body_pos,mid,1w,141,0.43691831396817743,-0.09947643979058007,,,5.723890203861275,4.141419756517872,12.404302141772302
HYPE,body_pos,mid,1w,60,1.4130306950791884,-1.9400224517899245,,,11.335956433509681,9.214182413278882,25.26420916240867
PUMP,body_pos,mid,1w,43,-0.11864360664076863,-2.3774145616641817,,,13.981585177889855,9.224091155724356,29.57135105805751
SOL,body_pos,mid,1w,138,1.4455966827300843,0.8326330221982592,,,8.196389566880077,6.2408050514614,16.686810794973617
XRP,body_pos,mid,1w,138,1.1174679864475832,-0.5431222463814445,,,7.360781696509212,4.471209980430957,12.783766136878576
ZEC,body_pos,mid,1w,33,3.0681364840416134,0.1175934147687796,,,16.325479997837824,10.080259491828492,27.3727246179305
AAVE,body_pos,lower,5m,1340,0.001430454007017115,0.0033043621529893485,0.26872860155396927,0.525788896659442,0.1218381648829104,0.08737960964883551,0.16524704715987742
AAVE,body_pos,mid,5m,2396,-0.006676669620973034,-0.007755392832214936,0.28048889990224257,0.6194617238235031,0.12958501040765208,0.09569168643064896,0.17888801902212406
AAVE,body_pos,upper,5m,1282,0.0012013424257623665,-0.004052539140869671,0.2813315302636911,0.5535763087264303,0.12914157326258208,0.09564732774001161,0.16854238057220666
BTC,body_pos,lower,5m,1410,-0.0027860540002899096,-0.001560525630961429,0.12210457350633867,0.28280479869308245,0.050798567722949835,0.032519570843869694,0.06884627944490512
BTC,body_pos,mid,5m,2298,-0.0007454822777210794,-0.0015557301431434745,0.13744313871440822,0.31004706352912786,0.05898679104089361,0.038584120379481224,0.08362259556437601
BTC,body_pos,upper,5m,1323,0.0022775011992061194,0.0,0.1244653641935378,0.27310527124177636,0.05198946494829949,0.034400262692924066,0.07200550998685118
CRV,body_pos,lower,5m,1497,0.008985490123603073,0.004995254508211033,0.3465392668985868,0.8494473721836638,0.15407871186195338,0.10361718161265854,0.16139568842945698
CRV,body_pos,mid,5m,2060,-0.0004430359326760347,0.0,0.3596782111965192,0.8686339125775725,0.15890413890374758,0.10174124397638318,0.18047471796048117
CRV,body_pos,upper,5m,1465,0.004997560265232139,-0.0048906930112058156,0.35965574513060283,0.8913592689422367,0.15851213497943387,0.1095551109840942,0.1634215809870613
DOGE,body_pos,lower,5m,1473,-0.0023015182466653494,0.0,0.17213581362296002,0.3887340615795382,0.08140210675971492,0.05961458477748982,0.10064925859771715
DOGE,body_pos,mid,5m,2113,-0.0022757946962600286,-0.0014532982604009703,0.18521262604105804,0.3917147275667506,0.08451568769994758,0.058675367794402966,0.1047364133597152
