tf,weekday,hour,med_vol,med_absnext
5m,4,14,12103.135,0.1562302178640118
5m,4,15,4108.93385,0.09239808815808548
5m,4,16,3406.67,0.08961697927117873
5m,4,17,5833.99525,0.09603949149506463
5m,4,18,3095.42675,0.08662605963254966
5m,4,19,2771.625,0.06753059540989814
5m,4,20,1763.54,0.052466160603420464
5m,4,21,2656.1499999999996,0.06445467857456033
5m,4,22,1087.275,0.049321033051652474
5m,4,23,1164.28575,0.048309190018247516
5m,5,0,1953.55,0.05383388498617636
5m,5,1,1580.365,0.04326424461125189
5m,5,2,778.275,0.04890204740557458
5m,5,3,1774.0,0.05843191275524129
5m,5,4,1161.1999999999998,0.04796968340859409
5m,5,5,1190.2350000000001,0.061310927583640984
5m,5,6,959.085,0.042775598812783144
5m,5,7,1144.8,0.055170313040669994
5m,5,8,1269.7136,0.038016564401238684
5m,5,9,1500.0,0.051336690598707824
5m,5,10,1560.5549999999998,0.05848172781284244
5m,5,11,1444.56,0.046647379249209475
5m,5,12,1822.99,0.05788160897151062
5m,5,13,1691.0,0.053091282198275414
5m,5,14,2020.72,0.07523244780526794
5m,5,15,2305.9506,0.05756787347561687
5m,5,16,3112.325,0.06354328468351489
5m,5,17,4168.395,0.07146475281039621
5m,5,18,5933.795,0.09875005655776703
5m,5,19,2913.0249999999996,0.06523349205632134
5m,5,20,2680.27445,0.06132091760797653
5m,5,21,2141.21,0.06702628777321973
5m,5,22,1692.8928,0.04714534921610447
5m,5,23,1632.85,0.04322794403457397
5m,6,0,1929.7649999999999,0.06156471294326282
5m,6,1,2955.83,0.05482564487149788
5m,6,2,3566.95,0.07556715253409507
5m,6,3,2960.27,0.062428941539882654
5m,6,4,2113.955,0.05652747330243679
5m,6,5,1714.625,0.04791817178317892
5m,6,6,1307.075,0.04778751495055911
5m,6,7,1530.85,0.05191582645980297
5m,6,8,2604.24,0.06999439200763291
5m,6,9,1531.22,0.06563458690749813
5m,6,10,2380.865,0.05795242561929537
5m,6,11,1860.0,0.05493162662485451
5m,6,12,1887.355,0.0496026881674827
5m,6,13,2242.415,0.06583911342741278
5m,6,14,2534.016,0.0672237377456919
5m,6,15,2466.995,0.06819948806199294
5m,6,16,3822.5,0.06677773242881324
5m,6,17,1817.5,0.05638696201782367
5m,6,18,1684.5749999999998,0.05809658286524133
5m,6,19,1621.105,0.04656788402851997
5m,6,20,2059.385,0.055439146577190845
5m,6,21,2934.92285,0.06602041980618423
5m,6,22,3778.4449999999997,0.12377067618639104
5m,6,23,2551.925,0.07848138689587336
1h,0,0,183362.99634999997,0.5260152330005596
1h,0,1,156178.135,0.4807792253962495
1h,0,2,137529.435,0.4187197527538322
1h,0,3,114821.04000000001,0.4522242285594502
1h,0,4,96566.29000000001,0.43623978335225466
1h,0,5,91250.58,0.42854145359733087
1h,0,6,105257.51999999999,0.36438649419985314
1h,0,7,108112.705,0.3587895110227335
1h,0,8,115595.85500000001,0.4155343258335997
1h,0,9,92945.165,0.281910043589384
1h,0,10,82723.57999999999,0.3599921186412669
1h,0,11,95475.16500000001,0.45074285782576995
1h,0,12,131042.0,0.552133636695068
1h,0,13,190910.54499999998,0.5766140582888157
1h,0,14,235576.47999999998,0.6864768069558935
1h,0,15,237267.875,0.5187785106418485
1h,0,16,227424.69,0.45602134120785176
1h,0,17,138824.75,0.3934899581565787
1h,0,18,141782.11,0.4435098213293909
1h,0,19,144341.91499999998,0.3369455618820183
1h,0,20,117423.54999999999,0.42307164823720544
1h,0,21,102777.995,0.4785390477741458
1h,0,22,107348.86499999999,0.32661459039433627
1h,0,23,99559.87,0.449982312809738
1h,1,0,131879.345,0.458072489074679
1h,1,1,119050.565,0.3526818196819437
1h,1,2,102802.41,0.38247832694087713
1h,1,3,93524.695,0.4120078587640963
1h,1,4,100040.5,0.3478549638825823
1h,1,5,87878.275,0.3431067479168659
1h,1,6,75740.345,0.3090107338064918
1h,1,7,97369.755,0.3929082772190451
1h,1,8,112120.895,0.3797113016258402
1h,1,9,95503.39,0.39593002061283356
1h,1,10,99621.5,0.34387723685309624
1h,1,11,101315.23999999999,0.36698569159011596
1h,1,12,124581.81,0.5256714964289866
1h,1,13,202076.905,0.7262190461162943
1h,1,14,310456.65,0.5255995305292638
1h,1,15,249633.86,0.4924113616144421
1h,1,16,212511.91499999998,0.5535732997666465
1h,1,17,188639.16,0.5203081877783455
1h,1,18,160146.175,0.32667065678997353
1h,1,19,123292.62,0.3739325039628705
1h,1,20,125726.18,0.378998338988229
1h,1,21,111211.63,0.3788040918768665
1h,1,22,107852.1,0.3487977847713042
1h,1,23,88566.5,0.3657223263220377
1h,2,0,131159.59,0.4343198464619058
1h,2,1,136391.84,0.39190127250919304
1h,2,2,109745.675,0.4534267886588339
1h,2,3,107136.245,0.3725961210506057
1h,2,4,92378.265,0.45155809960230053
1h,2,5,101474.315,0.34796891460463497
1h,2,6,93556.2,0.34367503525060683
1h,2,7,104080.01999999999,0.3949321553293639
1h,2,8,115055.485,0.35554944782404396
1h,2,9,106019.89499999999,0.36316128820813587
1h,2,10,102037.5,0.45550643808633384
1h,2,11,132507.875,0.48770802598634977
1h,2,12,151648.285,0.5780672509988538
1h,2,13,254528.115,0.5929005389656572
1h,2,14,275590.945,0.6446574500743152
1h,2,15,241372.675,0.6036122421599233
1h,2,16,220415.7,0.5200634755374911
1h,2,17,191569.81,0.5434221752835533
1h,2,18,200943.485,0.4381220168793276
1h,2,19,146872.03999999998,0.35800089271296187
1h,2,20,142637.60499999998,0.49131113159449624
1h,2,21,135999.885,0.43442806898892905
1h,2,22,143565.7,0.3305024733140094
1h,2,23,92299.67499999999,0.4309203084978952
1h,3,0,116724.785,0.44940382045022265
1h,3,1,115184.655,0.44065037643477023
1h,3,2,105923.51000000001,0.3954991813305109
1h,3,3,91741.305,0.45058917102166474
1h,3,4,113214.48000000001,0.418732736672206
1h,3,5,95449.225,0.3183965616421536
1h,3,6,82561.16,0.39105934107344087
1h,3,7,100116.01999999999,0.3582059056245368
1h,3,8,108183.985,0.3702713241335087
1h,3,9,95970.985,0.4889181857931857
1h,3,10,96754.515,0.38731867242352
1h,3,11,96975.495,0.41845913430520465
1h,3,12,136291.0,0.5396329385461973
1h,3,13,181675.0,0.578659909596857
1h,3,14,246535.055,0.6252994610409845
1h,3,15,232290.765,0.49891825167573955
1h,3,16,211283.79499999998,0.5482909909087896
1h,3,17,222986.485,0.47517314244264197
1h,3,18,157411.715,0.45883377018927085
1h,3,19,133159.87,0.41014235139092414
1h,3,20,135223.16499999998,0.32284671494952066
1h,3,21,114602.73999999999,0.3274450141162011
1h,3,22,102294.305,0.26799320333231735
1h,3,23,77194.4064,0.32725953022674226
1h,4,0,119749.06,0.4815060555044659
1h,4,1,135601.29015000002,0.4120012113679794
1h,4,2,107219.695,0.3552715324028122
1h,4,3,86773.0,0.35463115496505715
1h,4,4,92581.31,0.3967346448150666
1h,4,5,95303.715,0.41501255613815013
1h,4,6,89625.61,0.37118285913398386
1h,4,7,104463.005,0.43819546581223556
1h,4,8,123757.2,0.4260004987131527
1h,4,9,149122.35,0.36638822149460126
1h,4,10,96846.98000000001,0.3775920015340106
1h,4,11,105903.185,0.42421307430420274
1h,4,12,143591.2,0.6214153436495673
1h,4,13,237700.74,0.6701609513039442
1h,4,14,295710.46499999997,0.5742286304100286
1h,4,15,219092.15,0.4629149594551629
1h,4,16,194555.6961,0.4533558476470967
1h,4,17,164163.34,0.4493497349030262
1h,4,18,137784.93,0.3996643016971779
1h,4,19,127152.31,0.35868130474012716
1h,4,20,122826.11995,0.35885177329890716
1h,4,21,85951.76000000001,0.3422118985971778
1h,4,22,78011.805,0.2582207115884694
1h,4,23,57889.2,0.2901530493686022
1h,5,0,70581.70999999999,0.30330689223886376
1h,5,1,53548.625,0.22277489224455382
1h,5,2,56112.51,0.27155103834770045
1h,5,3,52895.865000000005,0.2649559171151783
1h,5,4,60754.69,0.24549392191922648
1h,5,5,50996.5,0.27611308610654417
1h,5,6,55151.955,0.29128361627548394
1h,5,7,69733.02965,0.2691078182390394
1h,5,8,60452.515,0.29249251506864304
1h,5,9,58068.97,0.256645443582737
1h,5,10,48942.3,0.2627122507884272
1h,5,11,59781.0,0.21237658172593155
1h,5,12,83891.11,0.3335818845414118
1h,5,13,84551.73,0.3793310820187745
1h,5,14,97946.11,0.3362831695928048
1h,5,15,100496.215,0.33224245556549015
1h,5,16,109638.345,0.3261537943351822
1h,5,17,93524.275,0.2722554402486477
1h,5,18,98425.26000000001,0.23886609697056915
1h,5,19,81388.775,0.2740481483101964
1h,5,20,74967.3,0.26996598324491305
1h,5,21,76321.125,0.3022571994201695
1h,5,22,68245.015,0.31388973173350765
1h,5,23,72774.51000000001,0.2519035108279888
1h,6,0,89156.63,0.32353583406473096
1h,6,1,68699.4,0.32457609353808703
1h,6,2,65053.831900000005,0.24372065496224837
1h,6,3,56206.375,0.2634727927613545
1h,6,4,60227.490000000005,0.24884643096987347
1h,6,5,50842.33,0.2470867610563754
1h,6,6,56778.619999999995,0.26366622755927827
1h,6,7,51533.805,0.30352607958396005
1h,6,8,55954.490000000005,0.27515351757836926
1h,6,9,58656.225000000006,0.2712761274200115
1h,6,10,65048.81,0.2909191734922767
1h,6,11,59306.350000000006,0.3397879251934466
1h,6,12,88454.69,0.30169460055771147
1h,6,13,87704.205,0.32462399498054406
1h,6,14,81122.44,0.2778940441490074
1h,6,15,83345.88500000001,0.3299186538779142
1h,6,16,103519.33,0.3385605419736537
1h,6,17,79708.23499999999,0.32326140388613256
1h,6,18,79571.9,0.30959912350635443
1h,6,19,80461.8,0.3575285222641278
1h,6,20,94880.11,0.4569089501489598
1h,6,21,110970.425,0.6729110021694629
1h,6,22,161329.78,0.4769704286030185
1h,6,23,160027.515,0.6042729946982517
