coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99.9_next,mw_p,p99_ci_lo,p99_ci_hi
BTC,1d,prev_ret_gt_2s,no,1277,0.13730801140519858,2.3943902673206496,0.008521734684308058,2.799423555684114,7.614751879456377,11.443606472025207,,,
BTC,1d,prev_ret_lt_m2s,yes,32,0.3037506294412271,3.629067860563407,-0.7255550042802539,4.637700147715657,11.300384059875853,12.036961164915303,0.2145865070973204,4.429197640512867,12.118803065475237
BTC,1d,prev_ret_lt_m2s,no,1287,0.12653061754753517,2.4000423174294676,0.008521734684308058,2.799423555684114,7.513996667367083,10.345343270098533,,,
BTC,1d,prev_ret_gt_3s,yes,17,-1.243686439031293,3.953273924187086,-1.7601519135261423,2.401090134470869,8.547154973249468,9.591069209115343,0.010525951356521927,0.5330720927051225,9.707059679767106
BTC,1d,prev_ret_gt_3s,no,1302,0.1487769542160745,2.4064805879182236,0.0094478583686608,2.861449480698138,7.5596364029255785,11.405780255923245,,,
BTC,1d,prev_ret_lt_m3s,yes,4,5.776120523245737,5.912473228111992,5.36078080021608,11.3267846729597,12.039601226223683,12.110882881550081,,,
BTC,1d,prev_ret_lt_m3s,no,1315,0.11365813143179777,2.4024560936911463,0.0,2.8173027669944766,7.492769252576664,10.345067579395657,,,
BTC,1d,range_top10,yes,132,0.0023160607395880913,3.4071823316578396,-0.26818073599775283,3.8105444113466884,9.636281123737238,11.802864681947472,0.5170931483098626,5.55998948182721,12.118803065475237
BTC,1d,range_top10,no,1187,0.14512148686450835,2.303617048954952,0.007297672042616554,2.6947566144745316,7.513996667367083,10.346327879751666,,,
BTC,1d,range_top1,yes,14,1.3861682815588015,3.9669894125848346,1.0534075008016786,3.8308600256279024,11.046203241743507,12.011543083102065,0.47030977513718863,3.516346003441262,12.118803065475237
BTC,1d,range_top1,no,1305,0.11736288811032479,2.412581416584823,0.006846032724028284,2.767363855939902,7.5580255887293974,10.345166040360969,,,
BTC,1d,vol_top1,yes,14,-0.259801573701016,4.164359857610016,-0.47127935624091677,2.247181948577293,10.859197421152292,11.992842501042945,0.13861093154480444,1.0123211530739473,12.118803065475237
BTC,1d,vol_top1,no,1305,0.1350208022663688,2.4124663713937147,0.008521734684308058,2.8584697784701354,7.5580255887293974,10.345166040360969,,,
BTC,1d,up5_consec,yes,40,0.7365349418206316,2.7572191496529905,0.060061621406515275,4.589595637556112,8.55511293053765,10.159993134511414,0.39930202011500115,4.714936936764121,10.338313157175172
BTC,1d,up5_consec,no,1279,0.11188704241827349,2.4233562694980897,0.006846032724028284,2.739810366034184,7.610203667917598,11.440580374737106,,,
BTC,1d,dn5_consec,yes,24,0.3751684459142475,2.1992591223287117,0.41238527501545885,2.1973336243763963,5.183026369565094,5.495071098073915,0.2927121447917759,2.0131346572370465,5.529742734574894
BTC,1d,dn5_consec,no,1295,0.12630183955510046,2.440033758785474,-0.002942907592706767,2.8584697784701354,7.810967780095844,11.416371596431603,,,
BTC,1h,base,base,5001,-0.006983222510705651,0.47977412229238225,-0.003078770339126624,0.4582407420187451,1.4182508239837466,2.4872841093287024,,,
BTC,1h,prev_ret_gt_2s,yes,128,-0.07132799966450719,0.8753403472431881,-0.0834075913559329,0.7061630611616199,2.2820306691943335,2.8283910388800275,0.23540379264357225,1.8230732710871944,2.905781775937566
BTC,1h,prev_ret_gt_2s,no,4873,-0.005293066246456401,0.46491478681129716,-0.0026853928058345744,0.4487031474884384,1.3717009584639852,2.4363302713837514,,,
BTC,1h,prev_ret_lt_m2s,yes,135,-0.013400069235013563,0.917681065501933,0.07125303552473206,0.950647583573887,2.3059985693047396,2.55565501007174,0.30220205505283504,1.4115506662213266,2.5752759834580807
BTC,1h,prev_ret_lt_m2s,no,4866,-0.006805196553496121,0.4619240704655089,-0.003377816486349605,0.4440481413515385,1.362323677125639,2.39869224644137,,,
BTC,1h,prev_ret_gt_3s,yes,46,0.1571141176530897,0.9857383173227675,0.0769578365711121,1.4794339848791416,2.607603921549303,2.8759639904987386,0.30533549194779896,1.8230732710871944,2.905781775937566
BTC,1h,prev_ret_gt_3s,no,4955,-0.00850662869587913,0.47248478971586205,-0.003088373816761969,0.45112233396718504,1.3760675364831703,2.4315387407513485,,,
BTC,1h,prev_ret_lt_m3s,yes,44,0.1644579429603519,1.0928289687193065,0.20702993473075137,1.4322033571170998,2.5123131584123546,2.5689797009535082,0.06518146976981161,1.6133914323521414,2.5752759834580807
BTC,1h,prev_ret_lt_m3s,no,4957,-0.008504991984324077,0.47074578061873573,-0.0033443324712334466,0.4487021176008854,1.3755823611476954,2.389372177628907,,,
BTC,1h,range_top10,yes,501,-0.01872784474472481,0.8497380532113854,-0.04924929995637761,0.947268708556992,2.297929574038826,3.164890635972495,0.40815344959630007,2.0675206923790324,2.5752759834580807
BTC,1h,range_top10,no,4500,-0.005675654568651516,0.41899016575939374,-0.0014955003127536948,0.4148486068977175,1.1927700816687206,2.096286313285387,,,
