coin,tf,quarter,qidx,n,sigma_ret,median_range,kurtosis,p99,p99_9,min,max,ev3_count,ev3_rate
DOGE,1w,2025Q2,10,13,12.682,18.4471,7.365,33.031,35.173,-14.851,35.411,0,0.0
DOGE,1w,2025Q3,11,13,11.3644,19.6997,1.653,19.15,19.296,-14.762,19.312,0,0.0
DOGE,1w,2025Q4,12,13,7.697,17.096,3.974,2.546,2.635,-23.399,2.645,0,0.0
DOGE,1w,2026Q1,13,13,10.6758,18.0205,5.189,22.814,24.613,-16.952,24.813,0,0.0
DOGE,1w,2026Q2,14,13,6.6164,11.4367,1.906,8.82,8.928,-11.407,8.94,0,0.0
DOGE,1w,2026Q3,15,7,1.9471,6.561,4.545,2.237,2.325,-3.919,2.334,0,0.0
ETH,1w,2023Q1,1,5,6.2873,10.2849,6.753,7.609,7.652,-7.949,7.657,0,0.0
ETH,1w,2023Q2,2,13,5.7333,9.6983,5.937,13.297,14.367,-9.96,14.486,0,0.0
ETH,1w,2023Q3,3,13,2.6662,7.0741,3.925,2.887,3.059,-7.084,3.078,0,0.0
ETH,1w,2023Q4,4,13,6.3011,10.1274,2.46,13.863,14.335,-7.146,14.387,0,0.0
ETH,1w,2024Q1,5,13,9.6938,14.1934,2.04,16.576,16.822,-12.242,16.849,0,0.0
ETH,1w,2024Q2,6,13,9.1919,13.0279,6.116,21.481,23.253,-15.908,23.45,0,0.0
ETH,1w,2024Q3,7,13,10.1021,14.6425,5.988,13.203,13.691,-27.609,13.746,1,76.92
ETH,1w,2024Q4,8,13,8.0715,14.3445,2.995,18.81,19.019,-5.392,19.042,0,0.0
ETH,1w,2025Q1,9,13,6.6348,15.1484,2.618,7.281,7.726,-14.875,7.775,0,0.0
ETH,1w,2025Q2,10,13,13.7379,14.3743,9.766,40.437,43.707,-8.934,44.07,1,76.92
ETH,1w,2025Q3,11,13,10.9638,15.713,4.105,28.244,29.034,-9.569,29.122,1,76.92
ETH,1w,2025Q4,12,13,7.4338,16.8612,1.59,5.203,5.315,-14.794,5.328,0,0.0
ETH,1w,2026Q1,13,13,9.894,13.2304,6.783,7.282,7.367,-28.636,7.377,1,76.92
ETH,1w,2026Q2,14,13,6.2637,11.637,1.978,7.92,7.944,-10.561,7.946,0,0.0
ETH,1w,2026Q3,15,7,4.7462,7.2442,2.322,9.922,10.01,-1.499,10.019,0,0.0
HYPE,1w,2024Q4,8,3,22.9436,59.9548,,43.433,43.964,-1.168,44.023,0,0.0
HYPE,1w,2025Q1,9,13,12.0716,33.1166,2.53,17.237,18.333,-23.326,18.455,0,0.0
HYPE,1w,2025Q2,10,13,8.9924,25.0253,2.602,21.01,21.17,-6.183,21.188,0,0.0
HYPE,1w,2025Q3,11,13,13.1594,22.1429,2.642,24.667,25.13,-20.939,25.181,0,0.0
HYPE,1w,2025Q4,12,13,13.2557,25.5031,7.588,29.067,32.297,-19.868,32.656,0,0.0
HYPE,1w,2026Q1,13,13,19.9976,22.3593,7.797,54.663,59.372,-17.128,59.895,1,76.92
HYPE,1w,2026Q2,14,13,19.778,19.1664,2.707,40.334,41.171,-28.547,41.264,0,0.0
HYPE,1w,2026Q3,15,7,7.3014,13.4688,1.86,8.295,8.446,-11.256,8.463,0,0.0
LIT,1w,2025Q4,12,1,,82.4712,,-28.904,-28.904,-28.904,-28.904,0,0.0
LIT,1w,2026Q1,13,13,16.8845,34.9388,2.426,24.867,26.083,-30.481,26.218,0,0.0
LIT,1w,2026Q2,14,13,23.0978,34.7874,3.385,56.4,58.063,-22.113,58.248,1,76.92
LIT,1w,2026Q3,15,7,6.3376,19.6223,2.632,11.99,12.287,-5.393,12.32,0,0.0
PUMP,1w,2025Q3,11,11,30.8909,45.6602,1.926,44.701,45.324,-47.633,45.393,0,0.0
PUMP,1w,2025Q4,12,13,21.8031,34.4521,7.001,46.19,50.647,-37.922,51.142,0,0.0
PUMP,1w,2026Q1,13,13,14.6752,29.5714,2.349,22.66,23.05,-25.955,23.093,0,0.0
