ts_ns,btc_qty,usdt_free,equity,price
1780482600000000000,0.628492,44920.79,44920.79,67328.56999999999
1780482900000000000,0.628492,44920.79,44920.79,67336.48
1780483200000000000,0.628492,44920.79,44920.79,67234.15000000001
1780483500000000000,0.628492,44920.79,44920.79,67230.0
1780483800000000000,0.628492,44920.79,44920.79,67231.54
1780484100000000000,0.628492,44920.79,44920.79,67294.52
1780484400000000000,0.628492,44920.79,44920.79,67257.99
1780484700000000000,0.628492,44920.79,44920.79,67216.83
1780485000000000000,0.628492,44920.79,44920.79,67341.5
1780485300000000000,0.628492,44920.79,44920.79,67350.0
1780485600000000000,0.628492,44920.79,44920.79,67347.94
1780485900000000000,0.628492,44920.79,44920.79,67329.99
1780486200000000000,0.628492,44920.79,44920.79,67172.0
1780486500000000000,0.628492,44920.79,44920.79,67124.0
1780486800000000000,0.628492,44920.79,44920.79,67150.0
1780487100000000000,0.628492,44920.79,44920.79,67095.06
1780487400000000000,0.628492,44920.79,44920.79,67078.0
1780487700000000000,0.628492,44920.79,44920.79,67067.37
1780488000000000000,0.628492,44920.79,44920.79,67106.0
1780488300000000000,0.628492,44920.79,44920.79,67096.0
1780488600000000000,0.628492,44920.79,44920.79,66972.76000000001
1780488900000000000,0.628492,44920.79,44920.79,66844.0
1780489200000000000,0.628492,44920.79,44920.79,66892.01
1780489500000000000,0.628492,44920.79,44920.79,67032.01
1780489800000000000,0.628492,44920.79,44920.79,67128.5
1780490100000000000,0.628492,44920.79,44920.79,66862.71
1780490400000000000,0.628492,44920.79,44920.79,66968.46
1780490700000000000,0.628492,44920.79,44920.79,67021.86
1780491000000000000,0.628492,44920.79,44920.79,67076.0
1780491300000000000,0.628492,44920.79,44920.79,67078.72
1780491600000000000,0.628492,44920.79,44920.79,67048.0
1780491900000000000,0.628492,44920.79,44920.79,67070.01999999999
1780492200000000000,0.628492,44920.79,44920.79,67122.01
1780492500000000000,0.628492,44920.79,44920.79,67219.98000000001
1780492800000000000,0.628492,44920.79,44920.79,67107.7
1780493100000000000,0.628492,44920.79,44920.79,66838.01
1780493400000000000,0.628492,44920.79,44920.79,67124.01
1780493700000000000,0.628492,44920.79,44920.79,66981.64
1780494000000000000,0.628492,44920.79,44920.79,66744.26999999999
1780494300000000000,0.628492,44920.79,44920.79,66794.0
1780494600000000000,0.628492,44920.79,44920.79,66940.01
1780494900000000000,0.628492,44920.79,44920.79,66906.01
1780495200000000000,0.628492,44920.79,44920.79,66777.11
1780495500000000000,0.628492,44920.79,44920.79,66774.0
1780495800000000000,0.628492,44920.79,44920.79,66903.71999999999
1780496100000000000,0.628492,44920.79,44920.79,66694.0
1780496400000000000,0.628492,44920.79,44920.79,66709.99
1780496700000000000,0.628492,44920.79,44920.79,66791.99
1780497000000000000,0.628492,44920.79,44920.79,66770.01999999999
1780497300000000000,0.628492,44920.79,44920.79,66955.16
1780497600000000000,0.628492,44920.79,44920.79,66752.0
1780497900000000000,0.628492,44920.79,44920.79,66819.74
1780498200000000000,0.628492,44920.79,44920.79,66881.40000000001
1780498500000000000,0.628492,44920.79,44920.79,66864.95
1780498800000000000,0.628492,44920.79,44920.79,66760.0
1780499100000000000,0.628492,44920.79,44920.79,66580.94
1780499400000000000,0.628492,44920.79,44920.79,66525.54999999999
