entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
1966,1967,2025-01-11 20:00:00+00:00,2025-01-11 22:00:00+00:00,L,94896.0,94928.5072,-34.83,52947.45,1
1968,1969,2025-01-12 00:00:00+00:00,2025-01-12 02:00:00+00:00,S,94538.4,94377.032,37.43,52984.88,1
1972,1973,2025-01-12 08:00:00+00:00,2025-01-12 10:00:00+00:00,L,93862.8,94306.3482,197.39,53182.28,1
1978,1979,2025-01-12 20:00:00+00:00,2025-01-12 22:00:00+00:00,S,94303.8,93753.5251,257.14,53439.42,1
1980,1981,2025-01-13 00:00:00+00:00,2025-01-13 02:00:00+00:00,L,94177.9,94459.9531,106.61,53546.03,1
1984,1985,2025-01-13 08:00:00+00:00,2025-01-13 10:00:00+00:00,S,92805.0,90786.9978,1110.79,54656.81,1
1990,1991,2025-01-13 20:00:00+00:00,2025-01-13 22:00:00+00:00,L,94172.8,94676.1069,237.46,54894.27,1
1992,1993,2025-01-14 00:00:00+00:00,2025-01-14 02:00:00+00:00,S,94814.4,94728.9828,-5.44,54888.83,1
2000,2001,2025-01-14 16:00:00+00:00,2025-01-14 18:00:00+00:00,L,96492.5,97041.0411,257.14,55145.97,1
2004,2005,2025-01-15 00:00:00+00:00,2025-01-15 02:00:00+00:00,S,97293.1,96692.0315,285.54,55431.51,1
2013,2014,2025-01-15 18:00:00+00:00,2025-01-15 20:00:00+00:00,L,99807.5,100677.7256,427.88,55859.39,1
2016,2017,2025-01-16 00:00:00+00:00,2025-01-16 02:00:00+00:00,S,100044.8,99151.8974,442.69,56302.08,1
2024,2025,2025-01-16 16:00:00+00:00,2025-01-16 18:00:00+00:00,L,99798.9,100378.176,270.5,56572.58,1
2028,2029,2025-01-17 00:00:00+00:00,2025-01-17 02:00:00+00:00,S,101644.6,100781.2046,423.97,56996.55,1
2033,2034,2025-01-17 10:00:00+00:00,2025-01-17 12:00:00+00:00,L,102205.4,102947.7622,356.99,57353.54,1
