entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
366,367,2024-10-01 00:00:00+00:00,2024-10-01 04:00:00+00:00,L,63784.0,64174.6813,69.21,13572.59,1
368,369,2024-10-01 08:00:00+00:00,2024-10-01 12:00:00+00:00,S,63781.0,61773.0064,413.73,13986.32,1
369,370,2024-10-01 12:00:00+00:00,2024-10-01 16:00:00+00:00,L,62710.0,62812.3612,8.84,13995.16,1
377,378,2024-10-02 20:00:00+00:00,2024-10-03 00:00:00+00:00,S,60652.0,60563.3196,6.47,14001.63,1
381,382,2024-10-03 12:00:00+00:00,2024-10-03 16:00:00+00:00,L,60637.0,61040.8561,79.25,14080.88,1
384,385,2024-10-04 00:00:00+00:00,2024-10-04 04:00:00+00:00,S,60961.0,60952.6401,-12.15,14068.73,1
392,393,2024-10-05 08:00:00+00:00,2024-10-05 12:00:00+00:00,L,62164.0,62350.0488,28.04,14096.77,1
399,400,2024-10-06 12:00:00+00:00,2024-10-06 16:00:00+00:00,S,62707.0,62553.0493,20.51,14117.28,1
408,409,2024-10-08 00:00:00+00:00,2024-10-08 04:00:00+00:00,L,62648.0,62802.0115,20.59,14137.87,1
413,414,2024-10-08 20:00:00+00:00,2024-10-09 00:00:00+00:00,S,62181.0,62029.4343,20.32,14158.19,1
416,417,2024-10-09 08:00:00+00:00,2024-10-09 12:00:00+00:00,L,62203.0,62405.8196,32.01,14190.2,1
417,418,2024-10-09 12:00:00+00:00,2024-10-09 16:00:00+00:00,S,62330.0,60833.3661,326.54,14516.74,1
418,419,2024-10-09 16:00:00+00:00,2024-10-09 20:00:00+00:00,L,61038.0,61093.55,-1.31,14515.43,1
419,420,2024-10-09 20:00:00+00:00,2024-10-10 00:00:00+00:00,S,60613.0,60363.2293,45.3,14560.73,1
420,421,2024-10-10 00:00:00+00:00,2024-10-10 04:00:00+00:00,L,60850.0,61118.3814,49.66,14610.39,1
426,427,2024-10-11 00:00:00+00:00,2024-10-11 04:00:00+00:00,S,60586.0,60555.7107,-7.31,14603.09,1
431,432,2024-10-11 20:00:00+00:00,2024-10-12 00:00:00+00:00,L,62504.0,63036.4395,109.79,14712.88,1
432,438,2024-10-12 00:00:00+00:00,2024-10-13 00:00:00+00:00,S,62534.0,62680.0,-49.06,14663.11,6
438,439,2024-10-13 00:00:00+00:00,2024-10-13 04:00:00+00:00,L,62680.0,62944.3933,47.19,14710.3,1
