entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
1165,1166,2024-11-06 02:00:00+00:00,2024-11-06 04:00:00+00:00,L,74394.9,74394.9,-54.51,5396.39,1
1403,1415,2024-11-25 22:00:00+00:00,2024-11-26 22:00:00+00:00,S,93004.1,92127.4808,454.68,5851.07,12
1425,1426,2024-11-27 18:00:00+00:00,2024-11-27 20:00:00+00:00,L,96708.3,96708.3,-58.51,5792.55,1
1430,1437,2024-11-28 04:00:00+00:00,2024-11-28 18:00:00+00:00,S,95500.1,95418.4314,-8.39,5784.17,7
1445,1446,2024-11-29 10:00:00+00:00,2024-11-29 12:00:00+00:00,L,97327.3,97327.3,-57.84,5726.32,1
1494,1496,2024-12-03 12:00:00+00:00,2024-12-03 16:00:00+00:00,S,93767.1,95914.7,-1368.79,4357.53,2
1496,1498,2024-12-03 16:00:00+00:00,2024-12-03 20:00:00+00:00,L,95914.7,95512.3,-226.39,4131.14,2
1568,1575,2024-12-09 16:00:00+00:00,2024-12-10 06:00:00+00:00,S,97398.7,97178.4209,52.12,4183.26,7
1591,1592,2024-12-11 14:00:00+00:00,2024-12-11 16:00:00+00:00,L,100372.5,100372.5,-41.83,4141.42,1
1679,1691,2024-12-18 22:00:00+00:00,2024-12-19 22:00:00+00:00,S,100148.6,98107.4727,802.65,4944.07,12
1761,1762,2024-12-25 18:00:00+00:00,2024-12-25 20:00:00+00:00,L,99001.3,99001.3,-49.44,4894.63,1
1768,1786,2024-12-26 08:00:00+00:00,2024-12-27 20:00:00+00:00,S,95390.2,94770.3858,269.09,5163.72,18
1850,1851,2025-01-02 04:00:00+00:00,2025-01-02 06:00:00+00:00,L,95556.6,95556.6,-51.64,5112.09,1
1921,1927,2025-01-08 02:00:00+00:00,2025-01-08 14:00:00+00:00,S,96487.5,95662.7359,385.85,5497.94,6
1996,1997,2025-01-14 08:00:00+00:00,2025-01-14 10:00:00+00:00,L,97150.0,97150.0,-54.98,5442.96,1
2102,2106,2025-01-23 04:00:00+00:00,2025-01-23 12:00:00+00:00,S,102490.6,102191.7939,104.26,5547.22,4
2108,2109,2025-01-23 16:00:00+00:00,2025-01-23 18:00:00+00:00,L,105911.3,105911.3,-55.47,5491.75,1
2112,2113,2025-01-24 00:00:00+00:00,2025-01-24 02:00:00+00:00,S,103183.3,103831.5,-399.91,5091.84,1
2113,2114,2025-01-24 02:00:00+00:00,2025-01-24 04:00:00+00:00,L,103831.5,103831.5,-50.92,5040.92,1
2147,2154,2025-01-26 22:00:00+00:00,2025-01-27 12:00:00+00:00,S,102553.7,99437.829,1481.16,6522.08,7
2184,2185,2025-01-30 00:00:00+00:00,2025-01-30 02:00:00+00:00,L,104237.0,104237.0,-65.22,6456.86,1
2207,2214,2025-01-31 22:00:00+00:00,2025-02-01 12:00:00+00:00,S,102377.6,102010.0138,167.26,6624.13,7
2243,2244,2025-02-03 22:00:00+00:00,2025-02-04 00:00:00+00:00,L,101294.8,101294.8,-66.24,6557.88,1
2246,2249,2025-02-04 04:00:00+00:00,2025-02-04 10:00:00+00:00,S,98807.4,98799.3675,-60.25,6497.64,3
2322,2323,2025-02-10 12:00:00+00:00,2025-02-10 14:00:00+00:00,L,98185.4,98185.4,-64.98,6432.66,1
2334,2338,2025-02-11 12:00:00+00:00,2025-02-11 20:00:00+00:00,S,96750.6,96151.193,334.2,6766.86,4
2351,2352,2025-02-12 22:00:00+00:00,2025-02-13 00:00:00+00:00,L,97828.1,97828.1,-67.67,6699.19,1
2355,2361,2025-02-13 06:00:00+00:00,2025-02-13 18:00:00+00:00,S,96023.0,95996.5228,-48.52,6650.67,6
2368,2369,2025-02-14 08:00:00+00:00,2025-02-14 10:00:00+00:00,L,97075.4,97075.4,-66.51,6584.17,1
2400,2403,2025-02-17 00:00:00+00:00,2025-02-17 06:00:00+00:00,S,96445.1,96280.6573,46.42,6630.59,3
2435,2436,2025-02-19 22:00:00+00:00,2025-02-20 00:00:00+00:00,L,96616.4,96616.4,-66.31,6564.28,1
2458,2469,2025-02-21 20:00:00+00:00,2025-02-22 18:00:00+00:00,S,95422.9,96620.0,-889.15,5675.14,11
2469,2470,2025-02-22 18:00:00+00:00,2025-02-22 20:00:00+00:00,L,96620.0,96620.0,-56.75,5618.38,1
2474,2481,2025-02-23 04:00:00+00:00,2025-02-23 18:00:00+00:00,S,96216.8,95779.2359,199.32,5817.71,7
2564,2565,2025-03-02 16:00:00+00:00,2025-03-02 18:00:00+00:00,L,94103.9,94103.9,-58.18,5759.53,1
2580,2592,2025-03-04 00:00:00+00:00,2025-03-05 00:00:00+00:00,S,83333.2,87609.5,-3013.14,2746.39,12
2592,2593,2025-03-05 00:00:00+00:00,2025-03-05 02:00:00+00:00,L,87609.5,87609.5,-27.46,2718.93,1
2628,2650,2025-03-08 00:00:00+00:00,2025-03-09 20:00:00+00:00,S,86068.7,83311.1737,843.92,3562.85,22
2708,2709,2025-03-14 16:00:00+00:00,2025-03-14 18:00:00+00:00,L,84332.4,84332.4,-35.63,3527.22,1
2756,2759,2025-03-18 16:00:00+00:00,2025-03-18 22:00:00+00:00,S,81424.8,82675.7,-577.15,2950.07,3
2759,2760,2025-03-18 22:00:00+00:00,2025-03-19 00:00:00+00:00,L,82675.7,82675.7,-29.5,2920.57,1
2872,2879,2025-03-28 08:00:00+00:00,2025-03-28 22:00:00+00:00,S,85107.9,84145.4414,301.07,3221.65,7
2928,2929,2025-04-02 00:00:00+00:00,2025-04-02 02:00:00+00:00,L,85111.1,85111.1,-32.22,3189.43,1
2929,2932,2025-04-02 02:00:00+00:00,2025-04-02 08:00:00+00:00,S,84504.0,84435.9352,-6.2,3183.22,3
2935,2936,2025-04-02 14:00:00+00:00,2025-04-02 16:00:00+00:00,L,86699.3,86699.3,-31.83,3151.39,1
2939,2948,2025-04-02 22:00:00+00:00,2025-04-03 16:00:00+00:00,S,82468.1,82386.2902,-0.25,3151.14,9
2963,2964,2025-04-04 22:00:00+00:00,2025-04-05 00:00:00+00:00,L,83862.1,83862.1,-31.51,3119.63,1
2967,2973,2025-04-05 06:00:00+00:00,2025-04-05 18:00:00+00:00,S,83483.3,82937.1623,172.89,3292.52,6
3022,3023,2025-04-09 20:00:00+00:00,2025-04-09 22:00:00+00:00,L,83247.4,83247.4,-32.93,3259.59,1
3031,3037,2025-04-10 14:00:00+00:00,2025-04-11 02:00:00+00:00,S,78734.1,80806.2,-890.44,2369.15,6
3037,3038,2025-04-11 02:00:00+00:00,2025-04-11 04:00:00+00:00,L,80806.2,80806.2,-23.69,2345.45,1
3150,3154,2025-04-20 12:00:00+00:00,2025-04-20 20:00:00+00:00,S,84269.4,84973.5,-219.43,2126.03,4
3154,3155,2025-04-20 20:00:00+00:00,2025-04-20 22:00:00+00:00,L,84973.5,84973.5,-21.26,2104.77,1
3323,3343,2025-05-04 22:00:00+00:00,2025-05-06 14:00:00+00:00,S,94224.1,94013.9865,25.89,2130.66,20
3347,3348,2025-05-06 22:00:00+00:00,2025-05-07 00:00:00+00:00,L,96799.0,96799.0,-21.31,2109.35,1
3470,3474,2025-05-17 04:00:00+00:00,2025-05-17 12:00:00+00:00,S,103301.3,103050.8787,30.04,2139.39,4
