entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
539,540,2026-06-14 22:00:00+00:00,2026-06-15 00:00:00+00:00,L,65720.0,65861.7619,-8.85,10495.63,1
546,547,2026-06-15 12:00:00+00:00,2026-06-15 14:00:00+00:00,L,66412.0,67249.7821,100.91,10596.54,1
567,568,2026-06-17 06:00:00+00:00,2026-06-17 08:00:00+00:00,L,65511.0,65539.3179,-27.21,10569.33,1
571,572,2026-06-17 14:00:00+00:00,2026-06-17 16:00:00+00:00,L,65731.0,66417.0699,78.61,10647.94,1
576,577,2026-06-18 00:00:00+00:00,2026-06-18 02:00:00+00:00,L,64513.0,64701.2446,-0.87,10647.07,1
588,589,2026-06-19 00:00:00+00:00,2026-06-19 02:00:00+00:00,L,62999.0,63075.7738,-18.97,10628.1,1
594,595,2026-06-19 12:00:00+00:00,2026-06-19 14:00:00+00:00,L,63189.0,63374.2357,-0.73,10627.38,1
608,609,2026-06-20 16:00:00+00:00,2026-06-20 18:00:00+00:00,L,63814.0,63937.1362,-11.38,10616.0,1
636,637,2026-06-23 00:00:00+00:00,2026-06-23 02:00:00+00:00,L,64131.0,64225.5142,-16.2,10599.8,1
654,655,2026-06-24 12:00:00+00:00,2026-06-24 14:00:00+00:00,L,61308.0,61431.1127,-10.51,10589.28,1
659,660,2026-06-24 22:00:00+00:00,2026-06-25 00:00:00+00:00,L,61047.0,61113.7475,-20.19,10569.09,1
664,665,2026-06-25 08:00:00+00:00,2026-06-25 10:00:00+00:00,L,61703.0,61705.8698,-31.22,10537.88,1
666,667,2026-06-25 12:00:00+00:00,2026-06-25 14:00:00+00:00,L,58234.0,60445.6655,368.6,10906.48,1
675,676,2026-06-26 06:00:00+00:00,2026-06-26 08:00:00+00:00,L,60500.0,60523.2754,-28.52,10877.96,1
684,685,2026-06-27 00:00:00+00:00,2026-06-27 02:00:00+00:00,L,59915.0,60375.0124,50.88,10928.84,1
688,689,2026-06-27 08:00:00+00:00,2026-06-27 10:00:00+00:00,L,60393.0,60445.3606,-23.31,10905.53,1
696,697,2026-06-28 00:00:00+00:00,2026-06-28 02:00:00+00:00,L,60191.0,60299.9275,-12.98,10892.55,1
708,709,2026-06-29 00:00:00+00:00,2026-06-29 02:00:00+00:00,L,59411.0,60175.9225,107.57,11000.12,1
734,738,2026-07-01 04:00:00+00:00,2026-07-01 12:00:00+00:00,L,59119.0,59487.6248,35.59,11035.57,4
738,739,2026-07-01 12:00:00+00:00,2026-07-01 14:00:00+00:00,L,59468.0,60555.6316,168.73,11204.3,1
749,750,2026-07-02 10:00:00+00:00,2026-07-02 12:00:00+00:00,L,61365.0,62028.1168,87.46,11291.76,1
757,758,2026-07-03 02:00:00+00:00,2026-07-03 04:00:00+00:00,L,61451.0,61827.3704,35.28,11327.05,1
759,760,2026-07-03 06:00:00+00:00,2026-07-03 08:00:00+00:00,L,61788.0,61939.1361,-6.27,11320.77,1
