entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
4812,4813,2025-09-06 00:00:00+00:00,2025-09-06 02:00:00+00:00,L,110818.3,111256.2182,1204.27,409198.52,1
4815,4816,2025-09-06 06:00:00+00:00,2025-09-06 08:00:00+00:00,S,110771.0,110631.5308,106.01,409304.54,1
4829,4830,2025-09-07 10:00:00+00:00,2025-09-07 12:00:00+00:00,L,111248.3,111249.0084,-406.7,408897.84,1
4856,4857,2025-09-09 16:00:00+00:00,2025-09-09 18:00:00+00:00,S,110976.6,110863.8653,6.48,408904.31,1
4860,4861,2025-09-10 00:00:00+00:00,2025-09-10 02:00:00+00:00,L,110965.1,111548.6868,1741.6,410645.92,1
4866,4867,2025-09-10 12:00:00+00:00,2025-09-10 14:00:00+00:00,S,113889.1,113668.7818,383.75,411029.66,1
4867,4868,2025-09-10 14:00:00+00:00,2025-09-10 16:00:00+00:00,L,113811.9,114033.5278,389.38,411419.04,1
4872,4873,2025-09-11 00:00:00+00:00,2025-09-11 02:00:00+00:00,S,113840.8,113661.0646,238.14,411657.18,1
4882,4883,2025-09-11 20:00:00+00:00,2025-09-11 22:00:00+00:00,L,114437.1,115444.7817,3213.21,414870.39,1
4884,4885,2025-09-12 00:00:00+00:00,2025-09-12 02:00:00+00:00,S,115322.6,115002.3476,737.23,415607.62,1
4892,4893,2025-09-12 16:00:00+00:00,2025-09-12 18:00:00+00:00,L,115756.0,116598.7057,2610.02,418217.65,1
4903,4904,2025-09-13 14:00:00+00:00,2025-09-13 16:00:00+00:00,S,115729.5,114979.2982,2292.83,420510.47,1
4906,4907,2025-09-13 20:00:00+00:00,2025-09-13 22:00:00+00:00,L,115854.2,115940.5053,-107.25,420403.22,1
4908,4909,2025-09-14 00:00:00+00:00,2025-09-14 02:00:00+00:00,S,115897.1,115582.4644,720.9,421124.12,1
4909,4910,2025-09-14 02:00:00+00:00,2025-09-14 04:00:00+00:00,L,115617.2,115881.7327,542.41,421666.53,1
4914,4915,2025-09-14 12:00:00+00:00,2025-09-14 14:00:00+00:00,S,115286.3,115100.9629,256.22,421922.75,1
4918,4919,2025-09-14 20:00:00+00:00,2025-09-14 22:00:00+00:00,L,116018.7,116035.5825,-360.53,421562.22,1
4919,4920,2025-09-14 22:00:00+00:00,2025-09-15 00:00:00+00:00,S,115214.4,114742.6152,1304.67,422866.89,1
4920,4921,2025-09-15 00:00:00+00:00,2025-09-15 02:00:00+00:00,L,115168.3,115529.0031,901.54,423768.42,1
4922,4923,2025-09-15 04:00:00+00:00,2025-09-15 06:00:00+00:00,S,116478.3,115520.3971,3061.25,426829.67,1
4931,4932,2025-09-15 22:00:00+00:00,2025-09-16 00:00:00+00:00,L,115315.6,115480.4926,183.5,427013.18,1
4934,4935,2025-09-16 04:00:00+00:00,2025-09-16 06:00:00+00:00,S,115906.3,115551.2174,881.16,427894.33,1
4939,4940,2025-09-16 14:00:00+00:00,2025-09-16 16:00:00+00:00,L,115869.9,116882.2166,3310.48,431204.81,1
4944,4945,2025-09-17 00:00:00+00:00,2025-09-17 02:00:00+00:00,S,116615.0,116299.6614,734.82,431939.63,1
4945,4946,2025-09-17 02:00:00+00:00,2025-09-17 04:00:00+00:00,L,116300.3,117157.8774,2753.11,434692.73,1
4946,4947,2025-09-17 04:00:00+00:00,2025-09-17 06:00:00+00:00,S,117059.2,116923.1735,70.43,434763.17,1
4955,4956,2025-09-17 22:00:00+00:00,2025-09-18 00:00:00+00:00,L,116400.2,116850.089,1245.6,436008.77,1
4956,4957,2025-09-18 00:00:00+00:00,2025-09-18 02:00:00+00:00,S,116611.5,116381.915,422.41,436431.18,1
4964,4965,2025-09-18 16:00:00+00:00,2025-09-18 18:00:00+00:00,L,117555.9,117882.6213,776.54,437207.71,1
4967,4968,2025-09-18 22:00:00+00:00,2025-09-19 00:00:00+00:00,S,117023.5,116963.3132,-212.35,436995.37,1
4968,4969,2025-09-19 00:00:00+00:00,2025-09-19 02:00:00+00:00,L,117187.5,117260.8159,-163.6,436831.77,1
4972,4973,2025-09-19 08:00:00+00:00,2025-09-19 10:00:00+00:00,S,116430.0,116238.8773,280.24,437112.01,1
4980,4981,2025-09-20 00:00:00+00:00,2025-09-20 02:00:00+00:00,L,115562.5,115563.0625,-434.98,436677.02,1
4984,4985,2025-09-20 08:00:00+00:00,2025-09-20 10:00:00+00:00,S,115623.0,115843.7,-1270.2,435406.82,1
4985,4986,2025-09-20 10:00:00+00:00,2025-09-20 12:00:00+00:00,L,115843.7,115918.7107,-153.47,435253.35,1
4991,4992,2025-09-20 22:00:00+00:00,2025-09-21 00:00:00+00:00,S,115628.9,115438.9361,279.81,435533.16,1
4992,4993,2025-09-21 00:00:00+00:00,2025-09-21 02:00:00+00:00,L,115455.1,115669.7764,374.29,435907.45,1
4999,5000,2025-09-21 14:00:00+00:00,2025-09-21 16:00:00+00:00,S,115466.4,115117.9659,879.5,436786.95,1
5004,5005,2025-09-22 00:00:00+00:00,2025-09-22 02:00:00+00:00,L,114204.3,114610.1971,1115.61,437902.56,1
