entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
1164,1165,2024-11-06 00:00:00+00:00,2024-11-06 02:00:00+00:00,S,71103.7,70931.9593,34.95,24726.37,1
1169,1170,2024-11-06 10:00:00+00:00,2024-11-06 12:00:00+00:00,L,74315.7,74797.5999,135.61,24861.98,1
1176,1177,2024-11-07 00:00:00+00:00,2024-11-07 02:00:00+00:00,S,75424.3,75043.0829,100.8,24962.78,1
1183,1184,2024-11-07 14:00:00+00:00,2024-11-07 16:00:00+00:00,L,76113.9,76529.1246,111.22,25074.0,1
1188,1189,2024-11-08 00:00:00+00:00,2024-11-08 02:00:00+00:00,S,76019.4,75623.1382,105.63,25179.62,1
1191,1192,2024-11-08 06:00:00+00:00,2024-11-08 08:00:00+00:00,L,76213.2,76222.3969,-22.14,25157.48,1
1193,1194,2024-11-08 10:00:00+00:00,2024-11-08 12:00:00+00:00,S,75974.4,75877.5942,6.9,25164.38,1
1194,1195,2024-11-08 12:00:00+00:00,2024-11-08 14:00:00+00:00,L,76306.2,76648.2295,87.63,25252.01,1
1207,1208,2024-11-09 14:00:00+00:00,2024-11-09 16:00:00+00:00,S,76321.3,75712.0341,176.33,25428.34,1
1211,1212,2024-11-09 22:00:00+00:00,2024-11-10 00:00:00+00:00,L,76701.7,77140.8812,120.17,25548.51,1
1212,1213,2024-11-10 00:00:00+00:00,2024-11-10 02:00:00+00:00,S,76728.2,76682.0555,-10.18,25538.33,1
1216,1217,2024-11-10 08:00:00+00:00,2024-11-10 10:00:00+00:00,L,79425.5,80184.9854,218.67,25756.99,1
1224,1225,2024-11-11 00:00:00+00:00,2024-11-11 02:00:00+00:00,S,81276.0,81020.2813,55.28,25812.28,1
1229,1230,2024-11-11 10:00:00+00:00,2024-11-11 12:00:00+00:00,L,82184.7,82540.2378,85.85,25898.13,1
1236,1237,2024-11-12 00:00:00+00:00,2024-11-12 02:00:00+00:00,S,88614.5,87064.547,427.09,26325.22,1
1245,1246,2024-11-12 18:00:00+00:00,2024-11-12 20:00:00+00:00,L,88781.1,89971.1366,326.54,26651.76,1
1248,1249,2024-11-13 00:00:00+00:00,2024-11-13 02:00:00+00:00,S,88325.1,87092.079,345.41,26997.17,1
1249,1250,2024-11-13 02:00:00+00:00,2024-11-13 04:00:00+00:00,L,87185.6,87723.3113,139.51,27136.67,1
1258,1259,2024-11-13 20:00:00+00:00,2024-11-13 22:00:00+00:00,S,88538.0,88378.1188,21.87,27158.54,1
1259,1260,2024-11-13 22:00:00+00:00,2024-11-14 00:00:00+00:00,L,90411.2,90515.3773,4.14,27162.67,1
1260,1261,2024-11-14 00:00:00+00:00,2024-11-14 02:00:00+00:00,S,90436.9,89603.6543,223.1,27385.78,1
1264,1265,2024-11-14 08:00:00+00:00,2024-11-14 10:00:00+00:00,L,91012.8,91729.5669,188.29,27574.07,1
1268,1269,2024-11-14 16:00:00+00:00,2024-11-14 18:00:00+00:00,S,89253.0,88969.1693,60.11,27634.18,1
1272,1273,2024-11-15 00:00:00+00:00,2024-11-15 02:00:00+00:00,L,88143.6,88524.3814,91.75,27725.92,1
1275,1276,2024-11-15 06:00:00+00:00,2024-11-15 08:00:00+00:00,S,87672.0,87424.7746,50.46,27776.38,1
1276,1277,2024-11-15 08:00:00+00:00,2024-11-15 10:00:00+00:00,L,89227.3,89782.1965,144.96,27921.34,1
1284,1285,2024-11-16 00:00:00+00:00,2024-11-16 02:00:00+00:00,S,91306.7,91096.9816,36.21,27957.55,1
