entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
121,122,2026-05-11 02:00:00+00:00,2026-05-11 04:00:00+00:00,L,80720.0,80945.6347,18.91,10554.38,1
122,123,2026-05-11 04:00:00+00:00,2026-05-11 06:00:00+00:00,S,80814.0,80667.0906,8.63,10563.01,1
127,128,2026-05-11 14:00:00+00:00,2026-05-11 16:00:00+00:00,L,81405.0,81987.476,65.02,10628.03,1
136,137,2026-05-12 08:00:00+00:00,2026-05-12 10:00:00+00:00,S,80806.0,80485.0895,31.58,10659.61,1
150,151,2026-05-13 12:00:00+00:00,2026-05-13 14:00:00+00:00,L,79620.0,79863.4193,21.93,10681.53,1
152,153,2026-05-13 16:00:00+00:00,2026-05-13 18:00:00+00:00,S,79494.0,79368.6668,6.16,10687.69,1
157,158,2026-05-14 02:00:00+00:00,2026-05-14 04:00:00+00:00,L,79000.0,79947.2504,117.46,10805.16,1
163,164,2026-05-14 14:00:00+00:00,2026-05-14 16:00:00+00:00,S,81264.0,81039.5539,19.04,10824.2,1
165,166,2026-05-14 18:00:00+00:00,2026-05-14 20:00:00+00:00,L,81368.0,81524.8658,10.04,10834.24,1
168,169,2026-05-15 00:00:00+00:00,2026-05-15 02:00:00+00:00,S,81088.0,80721.8009,38.09,10872.33,1
174,175,2026-05-15 12:00:00+00:00,2026-05-15 14:00:00+00:00,L,78715.0,79323.6388,73.19,10945.53,1
176,177,2026-05-15 16:00:00+00:00,2026-05-15 18:00:00+00:00,S,79430.0,79034.5797,43.54,10989.07,1
180,181,2026-05-16 00:00:00+00:00,2026-05-16 02:00:00+00:00,L,79122.0,79157.7502,-6.02,10983.05,1
186,187,2026-05-16 12:00:00+00:00,2026-05-16 14:00:00+00:00,S,77972.0,77861.9249,4.52,10987.57,1
192,193,2026-05-17 00:00:00+00:00,2026-05-17 02:00:00+00:00,L,77697.0,78036.0449,36.96,11024.53,1
212,213,2026-05-18 16:00:00+00:00,2026-05-18 18:00:00+00:00,S,76683.0,76133.7007,67.95,11092.47,1
214,215,2026-05-18 20:00:00+00:00,2026-05-18 22:00:00+00:00,L,77082.0,77201.9581,6.17,11098.64,1
230,231,2026-05-20 04:00:00+00:00,2026-05-20 06:00:00+00:00,S,77173.0,77248.0,-21.88,11076.72,1
231,232,2026-05-20 06:00:00+00:00,2026-05-20 08:00:00+00:00,L,77248.0,77606.378,40.31,11117.03,1
240,241,2026-05-21 00:00:00+00:00,2026-05-21 02:00:00+00:00,S,77847.0,77818.9463,-7.11,11109.92,1
252,253,2026-05-22 00:00:00+00:00,2026-05-22 02:00:00+00:00,L,77581.0,77769.3439,15.86,11125.78,1
253,254,2026-05-22 02:00:00+00:00,2026-05-22 04:00:00+00:00,S,77740.0,77427.6121,33.58,11159.36,1
264,265,2026-05-23 00:00:00+00:00,2026-05-23 02:00:00+00:00,L,75452.0,75621.3931,13.89,11173.25,1
276,277,2026-05-24 00:00:00+00:00,2026-05-24 02:00:00+00:00,S,76852.0,76669.4508,15.37,11188.62,1
291,292,2026-05-25 06:00:00+00:00,2026-05-25 08:00:00+00:00,L,77366.0,77662.5573,31.7,11220.32,1
308,309,2026-05-26 16:00:00+00:00,2026-05-26 18:00:00+00:00,S,75901.0,75766.2955,8.69,11229.01,1
312,313,2026-05-27 00:00:00+00:00,2026-05-27 02:00:00+00:00,L,75838.0,75922.1915,1.24,11230.25,1
320,321,2026-05-27 16:00:00+00:00,2026-05-27 18:00:00+00:00,S,74830.0,74639.3177,17.39,11247.64,1
324,325,2026-05-28 00:00:00+00:00,2026-05-28 02:00:00+00:00,L,74300.0,74337.2369,-5.61,11242.03,1
