ts_ns,btc_qty,usdt_free,equity,price
1760686500000000000,0.0,92724.15000000001,92724.15000000001,105913.45
1760686800000000000,0.0,92724.15000000001,92724.15000000001,105759.73000000001
1760687100000000000,0.0,92724.15000000001,92724.15000000001,105837.45
1760687400000000000,0.0,92724.15000000001,92724.15000000001,105730.7
1760687700000000000,0.0,92724.15000000001,92724.15000000001,105633.75
1760688000000000000,0.0,92724.15000000001,92724.15000000001,105143.93
1760688300000000000,0.0,92724.15000000001,92724.15000000001,105318.34999999999
1760688600000000000,0.0,92724.15000000001,92724.15000000001,105146.19
1760688900000000000,0.0,92724.15000000001,92724.15000000001,104750.0
1760689200000000000,0.0,92724.15000000001,92724.15000000001,105065.82
1760689500000000000,0.0,92724.15000000001,92724.15000000001,105173.59
1760689800000000000,0.0,92724.15000000001,92724.15000000001,105448.0
1760690100000000000,0.0,92724.15000000001,92724.15000000001,105305.67
1760690400000000000,0.0,92724.15000000001,92724.15000000001,105080.01
1760690700000000000,0.0,92724.15000000001,92724.15000000001,104972.92000000001
1760691000000000000,0.0,92724.15000000001,92724.15000000001,104878.93000000001
1760691300000000000,0.0,92724.15000000001,92724.15000000001,104884.38
1760691600000000000,0.0,92724.15000000001,92724.15000000001,105068.53
1760691900000000000,0.0,92724.15000000001,92724.15000000001,105161.57
1760692200000000000,0.0,92724.15000000001,92724.15000000001,105243.99
1760692500000000000,0.0,92724.15000000001,92724.15000000001,105232.45000000001
1760692800000000000,0.0,92724.15000000001,92724.15000000001,104921.03
1760693100000000000,0.0,92724.15000000001,92724.15000000001,105103.87999999999
1760693400000000000,0.0,92724.15000000001,92724.15000000001,105431.0
1760693700000000000,0.0,92724.15000000001,92724.15000000001,105516.0
1760694000000000000,0.0,92724.15000000001,92724.15000000001,105077.18000000001
1760694300000000000,0.0,92724.15000000001,92724.15000000001,104999.99
1760694600000000000,0.0,92724.15000000001,92724.15000000001,104980.01
1760694900000000000,0.0,92724.15000000001,92724.15000000001,104531.35
1760695200000000000,0.0,92724.15000000001,92724.15000000001,104742.71
1760695500000000000,0.0,92724.15000000001,92724.15000000001,104660.84
1760695800000000000,0.0,92724.15000000001,92724.15000000001,104638.87
1760696100000000000,0.0,92724.15000000001,92724.15000000001,104212.01
1760696400000000000,0.0,92724.15000000001,92724.15000000001,103735.04
1760696700000000000,0.0,92724.15000000001,92724.15000000001,104014.59999999999
1760697000000000000,0.0,92724.15000000001,92724.15000000001,104255.52
1760697300000000000,0.0,92724.15000000001,92724.15000000001,104392.68
1760697600000000000,0.0,92724.15000000001,92724.15000000001,104410.43
1760697900000000000,0.0,92724.15000000001,92724.15000000001,104665.33
1760698200000000000,0.0,92724.15000000001,92724.15000000001,104791.19
1760698500000000000,0.0,92724.15000000001,92724.15000000001,104751.99
1760698800000000000,0.0,92724.15000000001,92724.15000000001,104936.01
1760699100000000000,0.0,92724.15000000001,92724.15000000001,104934.0
1760699400000000000,0.0,92724.15000000001,92724.15000000001,105816.0
1760699700000000000,0.0,92724.15000000001,92724.15000000001,106108.92000000001
1760700000000000000,0.0,92724.15000000001,92724.15000000001,106150.0
1760700300000000000,0.0,92724.15000000001,92724.15000000001,106257.17
1760700600000000000,0.0,92724.15000000001,92724.15000000001,106266.25
1760700900000000000,0.0,92724.15000000001,92724.15000000001,105891.94
1760701200000000000,0.0,92724.15000000001,92724.15000000001,105868.09999999999
1760701500000000000,0.0,92724.15000000001,92724.15000000001,105938.42
1760701800000000000,0.0,92724.15000000001,92724.15000000001,105691.56
1760702100000000000,0.0,92724.15000000001,92724.15000000001,105683.71999999999
1760702400000000000,0.0,92724.15000000001,92724.15000000001,105779.25
1760702700000000000,0.0,92724.15000000001,92724.15000000001,106003.51
1760703000000000000,0.0,92724.15000000001,92724.15000000001,105743.37
1760703300000000000,0.0,92724.15000000001,92724.15000000001,105800.04
1760703600000000000,0.0,92724.15000000001,92724.15000000001,105804.43
1760703900000000000,0.0,92724.15000000001,92724.15000000001,105600.73999999999
1760704200000000000,0.0,92724.15000000001,92724.15000000001,105473.35
1760704500000000000,0.0,92724.15000000001,92724.15000000001,105671.77
1760704800000000000,0.0,92724.15000000001,92724.15000000001,105637.74
1760705100000000000,0.0,92724.15000000001,92724.15000000001,105510.01
1760705400000000000,0.0,92724.15000000001,92724.15000000001,105435.64
1760705700000000000,0.0,92724.15000000001,92724.15000000001,105350.4
1760706000000000000,0.0,92724.15000000001,92724.15000000001,105390.56999999999
1760706300000000000,0.0,92724.15000000001,92724.15000000001,105326.34
1760706600000000000,0.0,92724.15000000001,92724.15000000001,104916.81999999999
1760706900000000000,0.0,92724.15000000001,92724.15000000001,105342.26
1760707200000000000,0.0,92724.15000000001,92724.15000000001,105591.98000000001
1760707500000000000,0.0,92724.15000000001,92724.15000000001,105505.06
1760707800000000000,0.0,92724.15000000001,92724.15000000001,105880.53
1760708100000000000,0.0,92724.15000000001,92724.15000000001,105780.01
1760708400000000000,0.0,92724.15000000001,92724.15000000001,105326.67
1760708700000000000,0.0,92724.15000000001,92724.15000000001,105420.97
1760709000000000000,0.0,92724.15000000001,92724.15000000001,105934.89
1760709300000000000,0.0,92724.15000000001,92724.15000000001,105835.62999999999
1760709600000000000,0.0,92724.15000000001,92724.15000000001,105574.0
1760709900000000000,0.0,92724.15000000001,92724.15000000001,105204.12000000001
1760710200000000000,0.0,92724.15000000001,92724.15000000001,105419.59
