date,n_coins,long_ret_pct,short_ret_pct,gross_pct,fees_pct,net_pct,top3_coins,bottom3_coins
2025-03-25,9,3.9904,1.8555,5.846,0.09,5.756,"CRV,ZEC,SOL","AAVE,ETH,DOGE"
2025-03-26,9,0.6391,-1.1797,-0.5406,0.09,-0.6306,"CRV,ZEC,XMR","AAVE,XRP,ETH"
2025-03-27,9,-5.7244,5.159,-0.5654,0.09,-0.6554,"CRV,ZEC,XMR","ETH,AAVE,DOGE"
2025-03-28,9,-1.8778,4.6956,2.8178,0.09,2.7278,"CRV,ZEC,XMR","ETH,AAVE,DOGE"
2025-03-29,9,-0.4493,1.2054,0.7561,0.09,0.6661,"CRV,ZEC,BTC","ETH,AAVE,SOL"
2025-03-30,9,3.6975,0.4527,4.1503,0.09,4.0603,"ZEC,CRV,XMR","AAVE,ETH,BTC"
2025-03-31,9,5.0344,-3.6711,1.3633,0.09,1.2733,"ZEC,CRV,DOGE","AAVE,ETH,XRP"
2025-04-01,9,-4.8017,6.9446,2.1429,0.09,2.0529,"ZEC,CRV,XMR","AAVE,XRP,ETH"
2025-04-02,9,2.1125,-0.8248,1.2878,0.09,1.1978,"ZEC,CRV,XMR","XRP,AAVE,SOL"
2025-04-03,9,-0.7607,-2.8948,-3.6555,0.09,-3.7455,"CRV,ZEC,XMR","AAVE,XRP,SOL"
2025-04-04,9,-2.1851,0.3151,-1.87,0.09,-1.96,"ZEC,CRV,XMR","AAVE,XRP,SOL"
2025-04-05,9,-8.629,12.6473,4.0183,0.09,3.9283,"CRV,ZEC,XMR","AAVE,XRP,SOL"
2025-04-06,9,2.0832,0.1981,2.2814,0.09,2.1914,"ZEC,CRV,XMR","AAVE,ETH,XRP"
2025-04-07,9,0.0258,5.2121,5.2379,0.09,5.1479,"ZEC,CRV,XMR","AAVE,ETH,XRP"
2025-04-08,9,7.0297,-13.9804,-6.9507,0.09,-7.0407,"ZEC,CRV,XMR","AAVE,XRP,ETH"
2025-04-09,9,1.6197,6.9913,8.611,0.09,8.521,"CRV,ZEC,BTC","AAVE,ETH,XRP"
2025-04-10,9,3.8225,-3.1102,0.7123,0.09,0.6223,"CRV,ZEC,BTC","AAVE,ETH,XRP"
2025-04-11,9,2.1539,-6.7489,-4.595,0.09,-4.685,"CRV,ZEC,BTC","AAVE,ETH,XRP"
2025-04-12,9,-4.3363,3.5984,-0.7379,0.09,-0.8279,"CRV,ZEC,SOL","AAVE,ETH,XRP"
2025-04-13,9,-3.9017,-0.3206,-4.2223,0.09,-4.3123,"CRV,ZEC,BTC","AAVE,ETH,XRP"
2025-04-14,9,-0.4125,2.5732,2.1607,0.09,2.0707,"CRV,XMR,BTC","AAVE,ETH,DOGE"
2025-04-15,9,3.2356,-0.5036,2.732,0.09,2.642,"CRV,XMR,BTC","AAVE,DOGE,ZEC"
2025-04-16,9,-1.3807,-1.5672,-2.9479,0.09,-3.0379,"CRV,XMR,BTC","AAVE,ETH,DOGE"
2025-04-17,9,-0.7451,-0.1868,-0.9319,0.09,-1.0219,"CRV,SOL,BTC","AAVE,ZEC,ETH"
2025-04-18,9,2.6234,-2.2359,0.3875,0.09,0.2975,"CRV,SOL,BTC","AAVE,ZEC,ETH"
2025-04-19,9,-1.0478,1.5408,0.4931,0.09,0.4031,"CRV,SOL,BTC","ZEC,AAVE,ETH"
2025-04-20,9,-0.0609,-0.5606,-0.6215,0.09,-0.7115,"CRV,SOL,BTC","ZEC,ETH,AAVE"
2025-04-21,9,10.875,-9.223,1.652,0.09,1.562,"CRV,SOL,BTC","ZEC,ETH,AAVE"
2025-04-22,9,-1.0335,-4.0749,-5.1084,0.09,-5.1984,"CRV,SOL,BTC","ZEC,ETH,AAVE"
2025-04-23,9,1.7861,0.7669,2.553,0.09,2.463,"SOL,CRV,BTC","ZEC,ETH,XMR"
2025-04-24,9,-0.3962,0.1827,-0.2135,0.09,-0.3035,"CRV,SOL,BTC","ZEC,ETH,XRP"
2025-04-25,9,-0.7004,-0.1525,-0.8529,0.09,-0.9429,"CRV,SOL,BTC","ZEC,ETH,XRP"
2025-04-26,9,-2.2628,0.5553,-1.7075,0.09,-1.7975,"CRV,SOL,AAVE","ZEC,XRP,ETH"
2025-04-27,9,-0.4585,-6.87,-7.3285,0.09,-7.4185,"CRV,SOL,AAVE","ZEC,XMR,ETH"
2025-04-28,9,1.0548,1.2945,2.3493,0.09,2.2593,"CRV,SOL,XMR","ZEC,ETH,BTC"
2025-04-29,9,4.8001,-0.8632,3.9369,0.09,3.8469,"XMR,CRV,SOL","ZEC,ETH,DOGE"
2025-04-30,9,-0.3993,-3.2603,-3.6596,0.09,-3.7496,"XMR,SOL,CRV","ZEC,XRP,DOGE"
2025-05-01,9,0.8198,0.9638,1.7836,0.09,1.6936,"XMR,AAVE,SOL","ZEC,XRP,DOGE"
2025-05-02,9,-1.169,1.8668,0.6979,0.09,0.6079,"XMR,AAVE,CRV","ZEC,XRP,DOGE"
2025-05-03,9,-1.7308,1.5947,-0.1361,0.09,-0.2261,"XMR,AAVE,CRV","ZEC,XRP,DOGE"
2025-05-04,9,1.0806,-0.2446,0.8359,0.09,0.7459,"XMR,AAVE,CRV","XRP,DOGE,SOL"
2025-05-05,9,2.3833,-1.4452,0.9381,0.09,0.8481,"AAVE,XMR,ZEC","XRP,DOGE,BTC"
2025-05-06,9,0.8548,0.9726,1.8273,0.09,1.7373,"AAVE,XMR,ZEC","XRP,CRV,DOGE"
2025-05-07,9,9.8845,-12.2334,-2.349,0.09,-2.439,"ZEC,XMR,AAVE","XRP,SOL,DOGE"
2025-05-08,9,4.7967,-1.8015,2.9951,0.09,2.9051,"AAVE,ETH,XMR","XRP,BTC,SOL"
2025-05-09,9,7.164,-3.4388,3.7252,0.09,3.6352,"AAVE,XMR,ETH","XRP,BTC,SOL"
2025-05-10,9,-4.5611,2.5387,-2.0224,0.09,-2.1124,"ETH,AAVE,DOGE","XRP,BTC,SOL"
2025-05-11,9,0.354,-2.2623,-1.9083,0.09,-1.9983,"ETH,AAVE,XMR","XRP,BTC,SOL"
2025-05-12,9,5.0867,-1.2883,3.7984,0.09,3.7084,"XMR,ETH,AAVE","CRV,BTC,XRP"
2025-05-13,9,-2.0426,2.0614,0.0188,0.09,-0.0712,"ETH,XMR,AAVE","BTC,CRV,XRP"
2025-05-14,9,-2.0077,3.5305,1.5228,0.09,1.4328,"XMR,ETH,AAVE","CRV,BTC,XRP"
2025-05-15,9,0.7019,0.1802,0.8821,0.09,0.7921,"XMR,ETH,AAVE","CRV,XRP,BTC"
2025-05-16,9,-1.73,1.5267,-0.2032,0.09,-0.2932,"XMR,ETH,AAVE","CRV,XRP,BTC"
2025-05-17,9,1.8639,-3.2771,-1.4132,0.09,-1.5032,"XMR,ETH,AAVE","CRV,XRP,BTC"
2025-05-18,9,3.1885,2.2598,5.4483,0.09,5.3583,"AAVE,ETH,XMR","XRP,CRV,BTC"
2025-05-19,9,1.7637,-1.8328,-0.0691,0.09,-0.1591,"AAVE,ETH,DOGE","CRV,XRP,BTC"
2025-05-20,9,0.0525,-3.3071,-3.2546,0.09,-3.3446,"AAVE,ETH,DOGE","CRV,XRP,BTC"
2025-05-21,9,1.9639,-4.6323,-2.6684,0.09,-2.7584,"XMR,AAVE,ETH","CRV,XRP,BTC"
2025-05-22,9,-1.4321,4.9169,3.4847,0.09,3.3947,"AAVE,ETH,XMR","XRP,CRV,BTC"
2025-05-23,9,1.776,-0.0099,1.7661,0.09,1.6761,"AAVE,XMR,ETH","XRP,CRV,BTC"
2025-05-24,9,2.4135,-0.3141,2.0994,0.09,2.0094,"AAVE,XMR,ETH","XRP,CRV,BTC"
2025-05-25,9,-1.6417,0.434,-1.2077,0.09,-1.2977,"AAVE,XMR,ZEC","XRP,CRV,BTC"
2025-05-26,9,-3.5567,0.0332,-3.5235,0.09,-3.6135,"AAVE,ZEC,XMR","XRP,CRV,BTC"
2025-05-27,9,-1.3108,0.8233,-0.4874,0.09,-0.5774,"AAVE,ETH,DOGE","XRP,BTC,CRV"
2025-05-28,9,-2.4966,2.101,-0.3957,0.09,-0.4857,"AAVE,ZEC,ETH","XRP,CRV,BTC"
2025-05-29,9,-4.851,7.2057,2.3547,0.09,2.2647,"ZEC,AAVE,ETH","XRP,SOL,CRV"
2025-05-30,9,1.4218,-0.4562,0.9656,0.09,0.8756,"AAVE,ZEC,XMR","DOGE,CRV,XRP"
