coin,tf,threshold,xi,beta,n_exceedances,exceedance_rate,p_gt_3sigma,p_gt_4sigma,p_gt_5sigma,p_gt_6sigma,p_gt_7sigma,p_gt_8sigma,p_gt_9sigma,p_gt_10sigma
HYPE,1d,9.24047232723404,0.1,3.2076803332942574,62,0.10064935064935066,0.05957407184515684,0.021362301939938867,0.008427530602449334,0.003598721442588604,0.001642824251800102,0.0007939775681015518,0.00040312366088335837,0.00021367848398493814
HYPE,1h,1.6226404466860787,0.1,0.8175283996998157,500,0.10002000400080016,0.05342730582942808,0.024205250346086074,0.011622365249941456,0.005867662202616671,0.003094794513579821,0.0016963241050185925,0.0009620543220275955,0.0005624878684004863
LIT,1d,11.93538045923146,0.1,2.984228502482954,24,0.10256410256410256,0.06516075904244689,0.01731638814285858,0.005374648991463925,0.0018858691424321063,0.0007308442266989162,0.0003074729110116762,0.0001386011207192685,6.626366643531721e-05
LIT,1h,2.340468909276261,0.1,1.149158467106777,500,0.09998000399920016,0.05097901025001378,0.022508941168085637,0.010572126415756593,0.0052364605672852406,0.002716129989965806,0.0014670003789496676,0.0008211774456316266,0.00047453357353520427
PUMP,1d,11.248621737173718,-0.2059066649638381,5.060153161027461,40,0.10025062656641603,0.06076382762731954,0.019934195978386332,0.004680661726195621,0.0005879466050212737,1.4580610490181986e-05,0.0,0.0,0.0
PUMP,1h,1.8497387610996887,0.1,0.9233877561433873,501,0.10015993602558976,0.0514243331148692,0.02297085914843656,0.010896817847738874,0.00544387661250391,0.0028450004228362017,0.0015468055528648835,0.0008709511931642318,0.0005059458423704913
SOL,1d,6.675610039901905,0.02320030398701331,3.0207891609323,126,0.10015898251192369,0.04950368266663373,0.01920818300631321,0.007606271688406619,0.0030713002903301504,0.001263539264497685,0.0005292287987307879,0.0002255164221841626,9.77017889577933e-05
SOL,1h,1.0108336681183143,0.1,0.6956231770913042,501,0.10015993602558976,0.0480967427528669,0.024784687250317555,0.013309435538759675,0.007412187626816606,0.00426377436517177,0.0025248103900872123,0.0015346033245773434,0.0009550385517493992
XMR,1d,5.9025165932977295,0.1,4.547528663808698,21,0.1,0.04316351126478248,0.02264312044487008,0.012352107979925236,0.006975718851024981,0.004063057086813397,0.0024330800690905547,0.001493909929930822,0.0009383092801193254
XMR,1h,1.384942119589594,0.1,0.9153954768163912,500,0.09998000399920016,0.05200805433026497,0.02685315816776346,0.014445260171219445,0.008057129324462191,0.004641138595498577,0.0027516593227808884,0.0016743476325586355,0.0010430598977439498
XRP,1d,5.576819599957101,0.017312561177974112,6.683958014549765,116,0.10060711188204684,0.04404546217404816,0.025589911616678916,0.014942830153565827,0.008769056275962195,0.005171176394314975,0.003064107459129929,0.00182414541718987,0.0010909866132829942
XRP,1h,0.9034712315739268,0.1,0.6755712535551572,500,0.09998000399920016,0.04922811963360169,0.026389654932167335,0.014674076938024541,0.008429485252463467,0.004985390047774094,0.0030267894434240824,0.0018817745627629882,0.0011954187856622347
ZEC,1d,12.873940640325236,0.1,5.447345239826532,32,0.10158730158730159,0.04873881842970551,0.01941165002834773,0.008355528192370338,0.003840255048771562,0.0018668492338480011,0.0009526660213143458,0.0005072180308337969,0.00028034006882152516
ZEC,1h,1.842057598261193,0.1,1.4997559071645912,500,0.09998000399920016,0.051136644120199484,0.028579237349670467,0.016491712430558098,0.009793284731636563,0.005967670332887971,0.003722512524950814,0.0023719566689435236,0.0015410595972964072
