vol_percentile,vol_threshold,risk_multiplier,normalized_multiplier,position_size_hint,coin,tf
25,3.1158985393101064,0.32093471189258005,1.1055078908985747,1.11x base,ETH,1d
50,3.4446504224466654,0.29030522037406636,1.0,1.00x base,ETH,1d
75,3.8863647311855383,0.25730986903407527,0.8863425490679235,0.89x base,ETH,1d
90,4.424777569629091,0.2260000608536409,0.7784912050924663,0.78x base,ETH,1d
95,4.6873541972815325,0.21333996918345915,0.7348816149725612,0.73x base,ETH,1d
99,5.184905413025406,0.19286754923008273,0.6643612849316575,0.66x base,ETH,1d
10,0.41284085172698837,2.4222409090980657,1.2467246685954791,1.25x base,ETH,1h
25,0.45561962136140965,2.194813289673434,1.1296679289492932,1.13x base,ETH,1h
50,0.5146988740520049,1.9428835974079877,1.0,1.00x base,ETH,1h
75,0.622215844417497,1.6071593305955993,0.8272030978797289,0.83x base,ETH,1h
90,0.7784558354210777,1.284594391227199,0.6611792867781601,0.66x base,ETH,1h
95,0.9633521582040894,1.0380419989552219,0.5342790480809451,0.53x base,ETH,1h
99,1.384991501134043,0.7220260912656802,0.3716260162106157,0.37x base,ETH,1h
10,4.375068577273353,0.2285678458149389,1.136631745082994,1.14x base,HYPE,1d
25,4.813787582517241,0.2077366279375952,1.0330413934142828,1.03x base,HYPE,1d
50,4.972841831843983,0.20109225947956388,1.0,1.00x base,HYPE,1d
75,5.238376082150177,0.19089885573651552,0.9493098154576941,0.95x base,HYPE,1d
90,6.118551965760572,0.16343736321861804,0.8127481566998229,0.81x base,HYPE,1d
95,6.552770385032419,0.1526072090491925,0.7588915130007841,0.76x base,HYPE,1d
99,8.377463335909987,0.11936787544190151,0.5935975643758299,0.59x base,HYPE,1d
10,0.5594600549193145,1.7874377110698643,1.4930030210053564,1.49x base,HYPE,1h
25,0.6355884345689544,1.5733451800113127,1.314176763919295,1.31x base,HYPE,1h
50,0.8352755521263591,1.1972097081667268,0.9999999999999999,1.00x base,HYPE,1h
75,1.189065718368273,0.8409964096620972,0.7024637404167939,0.70x base,HYPE,1h
90,1.3616707268536448,0.7343919350536806,0.6134196290291083,0.61x base,HYPE,1h
95,1.52305059344508,0.656577006899055,0.5484227219510804,0.55x base,HYPE,1h
99,1.9481387812843656,0.5133104528316621,0.42875567190119795,0.43x base,HYPE,1h
10,4.869286721926885,0.20536888811597395,1.310433232670906,1.31x base,LIT,1d
25,5.510782092724423,0.18146244637766462,1.1578892129014644,1.16x base,LIT,1d
50,6.380875139816167,0.15671831497847016,0.9999999999999999,1.00x base,LIT,1d
75,7.351983198426513,0.13601772107069315,0.8679120949544356,0.87x base,LIT,1d
90,8.713196606752373,0.11476844206924479,0.7323230988350761,0.73x base,LIT,1d
95,9.59469393082795,0.1042242730418924,0.6650420728184235,0.67x base,LIT,1d
99,10.91211414458419,0.09164127012878724,0.5847515023459564,0.58x base,LIT,1d
10,0.9802804990387346,1.020116182032186,1.3955472571836138,1.40x base,LIT,1h
25,1.1204999143402568,0.8924587920105229,1.220908403647292,1.22x base,LIT,1h
50,1.3680277617040904,0.7309793178132183,1.0,1.00x base,LIT,1h
75,1.7998631428678973,0.5555977986229568,0.7600732128578835,0.76x base,LIT,1h
90,2.268592453704708,0.44080195998490496,0.6030293186729255,0.60x base,LIT,1h
95,2.5251268037342394,0.3960197161271931,0.5417659658441732,0.54x base,LIT,1h
99,3.023653013771266,0.3307257795274416,0.4524420479047664,0.45x base,LIT,1h
10,4.134209983578091,0.24188418197725806,1.2918596441535148,1.29x base,PUMP,1d
25,4.458861805221444,0.22427248111367207,1.1977987368854675,1.20x base,PUMP,1d
50,5.340819038241101,0.18723719954558343,1.0,1.00x base,PUMP,1d
75,6.1338087526114995,0.16303084108617585,0.8707182198935075,0.87x base,PUMP,1d
90,6.788342192631201,0.14731137170508404,0.7867633785519242,0.79x base,PUMP,1d
95,6.945226248719996,0.14398379033142367,0.7689913686001825,0.77x base,PUMP,1d
99,7.143073567637565,0.13999575820282795,0.7476920106826612,0.75x base,PUMP,1d
10,0.7785436840759699,1.2844494412498766,1.4351756186672553,1.44x base,PUMP,1h
25,0.9126820191716359,1.0956718539361772,1.2242455641531487,1.22x base,PUMP,1h
50,1.1173469134532144,0.8949771892325293,1.0,1.00x base,PUMP,1h
75,1.3709634829946105,0.729414030646308,0.8150085157721206,0.82x base,PUMP,1h
90,1.6468248029327681,0.6072291346469507,0.6784855993566367,0.68x base,PUMP,1h
95,1.871102307355097,0.5344443198370876,0.5971597111825724,0.60x base,PUMP,1h
99,2.367012806973846,0.42247342179718483,0.4720493738611024,0.47x base,PUMP,1h
10,3.4687869768103434,0.2882852151732681,1.1914269796046848,1.19x base,SOL,1d
25,3.840267581606574,0.2603985213920043,1.076176673330731,1.08x base,SOL,1d
50,4.132806390673213,0.24196633122150807,1.0,1.00x base,SOL,1d
75,4.512465822983712,0.2216083266285626,0.9158643085169204,0.92x base,SOL,1d
90,5.0627948623379515,0.1975193597984749,0.8163092724568188,0.82x base,SOL,1d
95,5.7099683417235285,0.17513231950742383,0.7237879692737043,0.72x base,SOL,1d
99,7.04615759844337,0.14192132180252667,0.5865333457182719,0.59x base,SOL,1d
10,0.44444880814921167,2.249977908961513,1.2718032113296942,1.27x base,SOL,1h
25,0.48825926849402956,2.048092201269146,1.1576870280809313,1.16x base,SOL,1h
50,0.5652514214758226,1.7691242551661106,1.0,1.00x base,SOL,1h
75,0.6862907952029554,1.4571082797406192,0.8236325263675756,0.82x base,SOL,1h
90,0.8352036089099114,1.1973128340587238,0.6767827814029393,0.68x base,SOL,1h
95,1.0309263611737849,0.9700013867735684,0.5482946627072788,0.55x base,SOL,1h
99,1.4452305990065668,0.691931101297874,0.39111503857195473,0.39x base,SOL,1h
10,2.5241388906832976,0.39617471276681404,1.1611239530291917,1.16x base,XMR,1d
25,2.6782671261376323,0.37337575114925686,1.0943038870702615,1.09x base,XMR,1d
50,2.9308381267449093,0.34119932823128474,1.0,1.00x base,XMR,1d
75,3.6301903839583085,0.27546764610995805,0.8073510799037391,0.81x base,XMR,1d
90,6.35357630470246,0.15739167234992865,0.46128951415531344,0.46x base,XMR,1d
95,7.381432631267466,0.1354750561244762,0.39705545971252126,0.40x base,XMR,1d
99,8.430583845363254,0.11861574694497477,0.34764355357865806,0.35x base,XMR,1d
10,0.5094185497793485,1.9630223525098247,1.3729724402985823,1.37x base,XMR,1h
25,0.571255835546034,1.7505291635999685,1.2243509578425222,1.22x base,XMR,1h
50,0.699417629423917,1.4297609295660174,0.9999999999999999,1.00x base,XMR,1h
75,0.91399770931144,1.0940946457659613,0.7652290835070289,0.77x base,XMR,1h
90,1.2395984041279393,0.8067128810991836,0.5642292109241293,0.56x base,XMR,1h
95,1.4850798794845277,0.6733644525216386,0.4709629691210182,0.47x base,XMR,1h
99,2.5208136738749705,0.3966973086363855,0.27745709120530876,0.28x base,XMR,1h
10,3.1344556857862056,0.3190346587239032,1.2263567266396407,1.23x base,XRP,1d
25,3.4932659136845277,0.28626506676248087,1.1003916992289193,1.10x base,XRP,1d
50,3.843960814617781,0.2601483335098549,0.9999999999999999,1.00x base,XRP,1d
75,4.22779357133346,0.2365299968239927,0.9092120392730961,0.91x base,XRP,1d
90,4.97406801115523,0.20104268734511122,0.7728002122200616,0.77x base,XRP,1d
95,5.393799059751539,0.1853980819311545,0.7126629620486548,0.71x base,XRP,1d
99,6.5478450620898485,0.15272200098162284,0.5870573873033764,0.59x base,XRP,1d
10,0.3802189260112701,2.630063712216048,1.273643522145653,1.27x base,XRP,1h
25,0.41664530648395776,2.400123040960029,1.162291677297647,1.16x base,XRP,1h
50,0.4842633721114315,2.064992022088953,1.0,1.00x base,XRP,1h
75,0.5866993814469507,1.7044504078626168,0.8254029021082556,0.83x base,XRP,1h
90,0.7579790826432052,1.3192976203417457,0.6388875144452809,0.64x base,XRP,1h
95,0.9382612696229246,1.0658012137726707,0.5161284897820102,0.52x base,XRP,1h
99,1.3097556942690527,0.7635011661912102,0.3697356493507659,0.37x base,XRP,1h
10,7.516721563259172e-26,1.3303672240407032e+25,1.025754105156737e+26,102575410515673705334439936.00x base,ZEC,1d
25,9.813729292579898e-09,101898062.41711742,785665445.9241076,785665445.92x base,ZEC,1d
50,7.710308000833262,0.12969650497644566,1.0,1.00x base,ZEC,1d
75,30.57562239266251,0.032705793758101176,0.25217174328669006,0.25x base,ZEC,1d
90,55.612721801950556,0.017981497175434527,0.13864288153871354,0.14x base,ZEC,1d
95,85.77321206904003,0.011658651645167332,0.08989179505866154,0.09x base,ZEC,1d
99,2975.630737343247,0.00033606320416384625,0.0025911508118501656,0.00x base,ZEC,1d
10,0.9175267647986296,1.0898864625703544,1.166803664635963,1.17x base,ZEC,1h
25,0.9764529049091727,1.02411493168021,1.0963904005879348,1.10x base,ZEC,1h
50,1.0705735915686203,0.9340787105861496,1.0,1.00x base,ZEC,1h
75,1.2701363167013873,0.7873170673499472,0.8428808604961063,0.84x base,ZEC,1h
90,1.6370900338917582,0.6108399533914202,0.6539491227758614,0.65x base,ZEC,1h
95,2.0187625280756913,0.49535296306159,0.5303118007590045,0.53x base,ZEC,1h
99,3.454486429855225,0.28947863026977044,0.3099081768902729,0.31x base,ZEC,1h
