bar,side,action,price,notional,fee
2224,1,CLOSE,119544.83,3750.0,0.75
2225,1,OPEN,123851.63,3750.0,0.75
2225,1,OPEN,123229.26,3750.0,0.75
2225,1,OPEN,121984.52,3750.0,0.75
2226,1,CLOSE,121374.6,3750.0,0.75
2226,1,CLOSE,118300.09,3750.0,0.75
2226,1,CLOSE,119544.83,3750.0,0.75
2227,1,OPEN,123851.63,3750.0,0.75
2227,1,OPEN,123229.26,3750.0,0.75
2227,1,OPEN,121984.52,3750.0,0.75
2228,1,CLOSE,121374.6,3750.0,0.75
2228,1,CLOSE,118300.09,3750.0,0.75
2228,1,CLOSE,119544.83,3750.0,0.75
2229,1,OPEN,123851.63,3750.0,0.75
2229,1,OPEN,123229.26,3750.0,0.75
2229,1,OPEN,121984.52,3750.0,0.75
2230,1,CLOSE,121374.6,3750.0,0.75
2230,1,CLOSE,118300.09,3750.0,0.75
2230,1,CLOSE,119544.83,3750.0,0.75
2231,1,OPEN,123851.63,3750.0,0.75
2231,1,OPEN,123229.26,3750.0,0.75
2231,1,OPEN,121984.52,3750.0,0.75
2232,1,CLOSE,121374.6,3750.0,0.75
2232,1,CLOSE,118300.09,3750.0,0.75
2232,1,CLOSE,119544.83,3750.0,0.75
2233,1,OPEN,123851.63,3750.0,0.75
2233,1,OPEN,123229.26,3750.0,0.75
2233,1,OPEN,121984.52,3750.0,0.75
2234,1,CLOSE,121374.6,3750.0,0.75
2234,1,CLOSE,118300.09,3750.0,0.75
2234,1,CLOSE,119544.83,3750.0,0.75
2235,1,OPEN,123851.63,3750.0,0.75
2235,1,OPEN,123229.26,3750.0,0.75
2235,1,OPEN,121984.52,3750.0,0.75
2236,1,CLOSE,121374.6,3750.0,0.75
2236,1,CLOSE,118300.09,3750.0,0.75
2236,1,CLOSE,119544.83,3750.0,0.75
2237,1,OPEN,123851.63,3750.0,0.75
2237,1,OPEN,123229.26,3750.0,0.75
2237,1,OPEN,121984.52,3750.0,0.75
2238,1,CLOSE,121374.6,3750.0,0.75
2238,1,CLOSE,118300.09,3750.0,0.75
2238,1,CLOSE,119544.83,3750.0,0.75
2239,1,OPEN,123851.63,3750.0,0.75
2239,1,OPEN,123229.26,3750.0,0.75
2239,1,OPEN,121984.52,3750.0,0.75
2240,1,CLOSE,121374.6,3750.0,0.75
2240,1,CLOSE,118300.09,3750.0,0.75
2240,1,CLOSE,119544.83,3750.0,0.75
2241,1,OPEN,123851.63,3750.0,0.75
2241,1,OPEN,123229.26,3750.0,0.75
2241,1,OPEN,121984.52,3750.0,0.75
2242,1,CLOSE,121374.6,3750.0,0.75
