bar,side,action,price,notional,fee
614,1,OPEN,21243.0,3750.0,0.75
615,1,CLOSE,21354.69,3750.0,0.75
615,1,CLOSE,20813.76,3750.0,0.75
615,1,CLOSE,21032.76,3750.0,0.75
615,1,CLOSE,20393.28,3750.0,0.75
616,1,OPEN,21790.5,3750.0,0.75
616,1,OPEN,21681.0,3750.0,0.75
616,1,OPEN,21462.0,3750.0,0.75
616,1,OPEN,21243.0,3750.0,0.75
617,1,CLOSE,21354.69,3750.0,0.75
617,1,CLOSE,20813.76,3750.0,0.75
617,1,CLOSE,21032.76,3750.0,0.75
617,1,CLOSE,20393.28,3750.0,0.75
618,1,OPEN,21790.5,3750.0,0.75
618,1,OPEN,21681.0,3750.0,0.75
618,1,OPEN,21462.0,3750.0,0.75
618,1,OPEN,21243.0,3750.0,0.75
619,1,CLOSE,21354.69,3750.0,0.75
619,1,CLOSE,20813.76,3750.0,0.75
619,1,CLOSE,21032.76,3750.0,0.75
619,1,CLOSE,20393.28,3750.0,0.75
620,1,OPEN,21790.5,3750.0,0.75
620,1,OPEN,21681.0,3750.0,0.75
620,1,OPEN,21462.0,3750.0,0.75
620,1,OPEN,21243.0,3750.0,0.75
621,1,CLOSE,21354.69,3750.0,0.75
621,1,CLOSE,20813.76,3750.0,0.75
621,1,CLOSE,21032.76,3750.0,0.75
621,1,CLOSE,20393.28,3750.0,0.75
622,1,OPEN,21790.5,3750.0,0.75
622,1,OPEN,21681.0,3750.0,0.75
622,1,OPEN,21462.0,3750.0,0.75
622,1,OPEN,21243.0,3750.0,0.75
623,1,CLOSE,21354.69,3750.0,0.75
623,1,CLOSE,20813.76,3750.0,0.75
623,1,CLOSE,21032.76,3750.0,0.75
623,1,CLOSE,20393.28,3750.0,0.75
624,1,OPEN,21790.5,3750.0,0.75
624,1,OPEN,21681.0,3750.0,0.75
624,1,OPEN,21462.0,3750.0,0.75
624,1,OPEN,21243.0,3750.0,0.75
625,1,CLOSE,21354.69,3750.0,0.75
625,1,CLOSE,20813.76,3750.0,0.75
625,1,CLOSE,21032.76,3750.0,0.75
625,1,CLOSE,20393.28,3750.0,0.75
626,1,OPEN,21790.5,3750.0,0.75
626,1,OPEN,21681.0,3750.0,0.75
626,1,OPEN,21462.0,3750.0,0.75
626,1,OPEN,21243.0,3750.0,0.75
627,1,CLOSE,21354.69,3750.0,0.75
627,1,CLOSE,20813.76,3750.0,0.75
627,1,CLOSE,21032.76,3750.0,0.75
627,1,CLOSE,20393.28,3750.0,0.75
628,1,OPEN,21790.5,3750.0,0.75
628,1,OPEN,21681.0,3750.0,0.75
628,1,OPEN,21462.0,3750.0,0.75
628,1,OPEN,21243.0,3750.0,0.75
629,1,CLOSE,21354.69,3750.0,0.75
629,1,CLOSE,20813.76,3750.0,0.75
629,1,CLOSE,21032.76,3750.0,0.75
629,1,CLOSE,20393.28,3750.0,0.75
630,1,OPEN,21790.5,3750.0,0.75
630,1,OPEN,21681.0,3750.0,0.75
630,1,OPEN,21462.0,3750.0,0.75
630,1,OPEN,21243.0,3750.0,0.75
631,1,CLOSE,21354.69,3750.0,0.75
631,1,CLOSE,20813.76,3750.0,0.75
631,1,CLOSE,21032.76,3750.0,0.75
631,1,CLOSE,20393.28,3750.0,0.75
632,1,OPEN,21790.5,3750.0,0.75
632,1,OPEN,21681.0,3750.0,0.75
632,1,OPEN,21462.0,3750.0,0.75
632,1,OPEN,21243.0,3750.0,0.75
633,1,CLOSE,21354.69,3750.0,0.75
633,1,CLOSE,20813.76,3750.0,0.75
633,1,CLOSE,21032.76,3750.0,0.75
633,1,CLOSE,20393.28,3750.0,0.75
634,1,OPEN,21790.5,3750.0,0.75
634,1,OPEN,21681.0,3750.0,0.75
634,1,OPEN,21462.0,3750.0,0.75
634,1,OPEN,21243.0,3750.0,0.75
635,1,CLOSE,21354.69,3750.0,0.75
635,1,CLOSE,20813.76,3750.0,0.75
635,1,CLOSE,21032.76,3750.0,0.75
635,1,CLOSE,20393.28,3750.0,0.75
636,1,OPEN,21790.5,3750.0,0.75
636,1,OPEN,21681.0,3750.0,0.75
636,1,OPEN,21462.0,3750.0,0.75
636,1,OPEN,21243.0,3750.0,0.75
637,1,CLOSE,21354.69,3750.0,0.75
637,1,CLOSE,20813.76,3750.0,0.75
637,1,CLOSE,21032.76,3750.0,0.75
637,1,CLOSE,20393.28,3750.0,0.75
638,1,OPEN,21790.5,3750.0,0.75
638,1,OPEN,21681.0,3750.0,0.75
638,1,OPEN,21462.0,3750.0,0.75
638,1,OPEN,21243.0,3750.0,0.75
639,1,CLOSE,21354.69,3750.0,0.75
639,1,CLOSE,20813.76,3750.0,0.75
639,1,CLOSE,21032.76,3750.0,0.75
639,1,CLOSE,20393.28,3750.0,0.75
640,1,OPEN,21790.5,3750.0,0.75
640,1,OPEN,21681.0,3750.0,0.75
640,1,OPEN,21462.0,3750.0,0.75
640,1,OPEN,21243.0,3750.0,0.75
641,1,CLOSE,21354.69,3750.0,0.75
641,1,CLOSE,20813.76,3750.0,0.75
641,1,CLOSE,21032.76,3750.0,0.75
641,1,CLOSE,20393.28,3750.0,0.75
642,1,OPEN,21790.5,3750.0,0.75
642,1,OPEN,21681.0,3750.0,0.75
642,1,OPEN,21462.0,3750.0,0.75
642,1,OPEN,21243.0,3750.0,0.75
643,1,CLOSE,21354.69,3750.0,0.75
643,1,CLOSE,20813.76,3750.0,0.75
643,1,CLOSE,21032.76,3750.0,0.75
643,1,CLOSE,20393.28,3750.0,0.75
644,1,OPEN,21790.5,3750.0,0.75
644,1,OPEN,21681.0,3750.0,0.75
644,1,OPEN,21462.0,3750.0,0.75
644,1,OPEN,21243.0,3750.0,0.75
645,1,CLOSE,21354.69,3750.0,0.75
645,1,CLOSE,20813.76,3750.0,0.75
645,1,CLOSE,21032.76,3750.0,0.75
645,1,CLOSE,20393.28,3750.0,0.75
646,1,OPEN,21790.5,3750.0,0.75
646,1,OPEN,21681.0,3750.0,0.75
646,1,OPEN,21462.0,3750.0,0.75
646,1,OPEN,21243.0,3750.0,0.75
647,1,CLOSE,21354.69,3750.0,0.75
647,1,CLOSE,20813.76,3750.0,0.75
647,1,CLOSE,21032.76,3750.0,0.75
647,1,CLOSE,20393.28,3750.0,0.75
648,1,OPEN,21790.5,3750.0,0.75
648,1,OPEN,21681.0,3750.0,0.75
648,1,OPEN,21462.0,3750.0,0.75
648,1,OPEN,21243.0,3750.0,0.75
649,1,CLOSE,21354.69,3750.0,0.75
649,1,CLOSE,20813.76,3750.0,0.75
649,1,CLOSE,21032.76,3750.0,0.75
649,1,CLOSE,20393.28,3750.0,0.75
