side,tf,n,mean5,median5,p25,p75,ext_n,con_n,mid_n,split,bucket,h1_mean5,h2_mean5,h1_n,h2_n
up,1d,49,1.3753378483565355,-2.205242286488056,-7.5875182329652,3.6114631055658473,,,,vol,high_vol,10.676917981115457,-4.515662902390781,19.0,30.0
up,1d,50,7.411352722060866,5.050851396453471,-2.4590913367424223,14.936759374235029,,,,vol,low_vol,8.609090866440917,0.05381840658341096,43.0,7.0
up,1d,89,4.097463300182132,0.7833190346525419,-6.477495107632097,9.237063317032632,,,,regime,high_regime,9.610911383497102,-3.6511664385307983,52.0,37.0
up,1d,10,7.328495695630378,1.2686772227766911,-9.334650395265925,21.308300510119278,,,,regime,low_regime,7.328495695630378,,10.0,0.0
up,1d,99,4.423830208813269,0.7833190346525419,-6.604879091879228,11.461590184823283,,,,hour,0-5,9.242779820937953,-3.6511664385307983,62.0,37.0
up,1d,0,,,,,,,,hour,6-11,,,0.0,0.0
up,1d,0,,,,,,,,hour,12-17,,,0.0,0.0
up,1d,0,,,,,,,,hour,18-23,,,0.0,0.0
up,1h,555,0.06157407241866411,-0.20968756552737022,-1.5303616076221078,1.3829646325236746,0.0,0.0,0.0,,,,,,
up,1h,147,0.3064751477724896,-0.193764720897585,-1.1137532665701608,1.0705360812133682,,,,ext,ext,0.7771830643535659,-0.4584252166717597,91.0,56.0
up,1h,295,0.099902494957741,-0.1328903654485082,-1.9447130567026671,1.6534267511548473,,,,ext,mid,0.1153177051368537,0.08479765813793928,146.0,149.0
up,1h,113,-0.3570749782542567,-0.3435595713385295,-1.4594216984570503,0.782272547408145,,,,ext,con,-0.3193370947893868,-0.39161473600176455,54.0,59.0
up,1h,440,0.0860197179763463,-0.20876987976137273,-1.514004225641934,1.3244069600243376,,,,vol,high_vol,0.10482204637202411,0.06704567881906419,221.0,219.0
up,1h,115,-0.031957093193337435,-0.2246320681642076,-1.6497408331369074,1.5052605143085738,,,,vol,low_vol,0.6735738348472992,-1.1294496479232163,70.0,45.0
up,1h,550,0.05079413501860148,-0.22088633672169777,-1.5374415317586436,1.3742949490197423,,,,regime,high_regime,0.23425948979476574,-0.1494133053645131,287.0,263.0
up,1h,5,1.2473671864255507,1.0101834323389343,0.8819714656290473,2.072173898799282,,,,regime,low_regime,0.7708417791076235,3.15346881569726,4.0,1.0
up,1h,118,-0.3718664092107758,-0.40134904065274835,-1.7316657571115774,0.9625745797162765,,,,hour,0-5,-0.11185356850401093,-0.6232121552273154,58.0,60.0
up,1h,88,0.23811483598649105,0.04909568030313005,-1.7618590536558338,1.7513858267269824,,,,hour,6-11,0.8244967552099582,-0.43407907141601965,47.0,41.0
up,1h,216,0.4342856907944879,-0.0006727295719136453,-1.0922804827050545,1.71181825409445,,,,hour,12-17,0.44949200132620076,0.4152778026298471,120.0,96.0
up,1h,133,-0.27598472405406393,-0.4367134363150714,-1.9655581947743508,1.0101834323389343,,,,hour,18-23,-0.24071272717047296,-0.3107302732229744,66.0,67.0
up,1w,19,8.816267332740486,-2.284838795630163,-5.636612632185557,11.514673310816427,0.0,0.0,0.0,,,,,,
