side,tf,half,n,k,mean_cum,median_cum
down,5m,h1,234,7,0.0042555503315553165,0.029767829818606602
down,5m,h1,234,8,-0.017719552196115134,0.0223144867819091
down,5m,h1,234,9,-0.01624844493915727,-0.00011194983384693277
down,5m,h1,234,10,-0.02233013019534117,0.0041854036439646965
down,5m,h2,191,1,0.05028076335494504,0.06918565341132443
down,5m,h2,191,2,0.0646643680570518,0.08204351461794544
down,5m,h2,191,3,0.08862735445909783,0.10637380329469961
down,5m,h2,191,4,0.0975577840978778,0.11226344488399871
down,5m,h2,191,5,0.10880886610591663,0.0807037365829949
down,5m,h2,191,6,0.07254580583388573,0.11351883151282476
down,5m,h2,191,7,0.08436875770831688,0.06282683814698899
down,5m,h2,191,8,0.10014375112558757,0.13597513597512098
down,5m,h2,191,9,0.08869391741065968,0.14488701354820496
down,5m,h2,191,10,0.07724294526086914,0.12266666666666425
up,1d,h1,62,1,1.5871689187079074,-0.4497860408316179
up,1d,h1,62,2,3.0491431044226216,0.9417987925486576
up,1d,h1,62,3,6.052195994168157,1.1129554967154698
up,1d,h1,62,4,6.545532796646788,1.6511101608285301
up,1d,h1,62,5,9.242779820937953,4.918900513489017
up,1d,h1,62,6,9.069909144621322,3.5547685936875846
up,1d,h1,62,7,9.953012334257828,5.049652067425205
up,1d,h1,62,8,10.460623317316434,4.697904651665548
up,1d,h1,62,9,11.66603904438644,4.9384026675288215
up,1d,h1,62,10,12.236225932283425,4.676370919848804
up,1d,h2,37,1,-3.2371440581903657,-2.6762578798777823
up,1d,h2,37,2,-1.6705280725303446,-1.136990677547702
up,1d,h2,37,3,-1.3042449015633204,-1.5142607735200244
up,1d,h2,37,4,-2.4865599090309103,-3.9263891115742875
up,1d,h2,37,5,-3.6511664385307983,-4.973426654662679
up,1d,h2,37,6,-4.439045072283053,-6.058199557547224
up,1d,h2,37,7,-5.786733057133989,-4.316045945005218
up,1d,h2,37,8,-5.805386297395475,-4.1467881065972705
up,1d,h2,37,9,-6.164142796781265,-5.515472182138847
up,1d,h2,37,10,-5.4700303898286595,-4.322038018377174
up,1h,h1,291,1,0.10765788647367226,0.0997506234413956
up,1h,h1,291,2,-0.17003234698748024,-0.2907607516382533
up,1h,h1,291,3,-0.1555231778886155,-0.2430239118170535
up,1h,h1,291,4,-0.02183949570071528,-0.20001398699209735
up,1h,h1,291,5,0.24163519136607656,-0.04665992689945135
up,1h,h1,291,6,0.2845118681330364,0.097709602857732
up,1h,h1,291,7,0.37564967219627676,0.16832238687745169
up,1h,h1,291,8,0.4851432053324389,0.20855614973262518
up,1h,h1,291,9,0.47483630599460097,0.1888243933142178
up,1h,h1,291,10,0.4391644859601641,0.27320359281437806
up,1h,h2,264,1,-0.09399475307817703,-0.14267604924505878
up,1h,h2,264,2,-0.057910969325455766,-0.08583609039699747
up,1h,h2,264,3,-0.002819590503939812,-0.19706880441087135
up,1h,h2,264,4,-0.10925391023856532,-0.20433289170237054
up,1h,h2,264,5,-0.13690238823927917,-0.34457427595679607
up,1h,h2,264,6,-0.13523733851328293,-0.29454603390821155
up,1h,h2,264,7,-0.24095486676243,-0.4233006850152718
up,1h,h2,264,8,-0.38116188213592894,-0.48008780849475285
up,1h,h2,264,9,-0.27061490379399183,-0.43434941633549734
